,I,Q
0,23.101408366967704,-9.886132997173604
1,22.10437733995159,-10.431936778366236
2,22.314820341989517,-10.320242348060603
3,22.488336268952775,-10.228762872613956
4,22.456443006255252,-10.236867000450173
5,22.428118473402105,-10.253542069972259
6,22.431687203246476,-10.262113011658128
7,22.431687203246476,-10.262113011658128
8,22.415947201336206,-10.24851101362329
9,22.427066649746305,-10.238915714775004
10,22.436721015623625,-10.250002184635358
11,22.42560156721353,-10.259597483483644
12,22.422032837369155,-10.251026541797774
13,22.433152285779254,-10.241431242949488
14,22.43063537959068,-10.247486656460874
15,22.416999024992005,-10.263137368820544
16,22.410913388959056,-10.26062184064606
17,22.409861565303256,-10.245995485448804
18,22.42454974355773,-10.24497112828639
19,22.440289745468004,-10.25857312632123
20,22.452461017533903,-10.2636041826702
21,22.43420410943505,-10.256057598146743
22,22.422032837369155,-10.251026541797774
23,22.40734465911468,-10.25205089896019
24,22.398742116893157,-10.25559078429709
25,22.404827752926106,-10.258106312471575
26,22.410913388959056,-10.26062184064606
27,22.415947201336206,-10.24851101362329
28,22.40734465911468,-10.25205089896019
29,22.40839648277048,-10.266677254157445
30,22.416999024992005,-10.263137368820544
31,22.428118473402105,-10.253542069972259
32,22.44280665165658,-10.252517712809844
33,22.44280665165658,-10.252517712809844
34,22.42560156721353,-10.259597483483644
35,22.403775929270306,-10.24347995727432
36,22.40629283545888,-10.237424543762934
37,22.41951593118058,-10.25708195530916
38,22.423084661024955,-10.265652896995029
39,22.43420410943505,-10.256057598146743
40,22.451409193878103,-10.248977827472944
41,22.448892287689528,-10.255033240984329
42,22.44280665165658,-10.252517712809844
43,22.440289745468004,-10.25857312632123
44,22.43420410943505,-10.256057598146743
45,22.423497919901926,-10.230344773089133
46,22.420981013713355,-10.236400186600518
47,22.428118473402105,-10.253542069972259
48,22.436721015623625,-10.250002184635358
49,22.432100462123454,-10.226804887752234
50,22.419929190057555,-10.221773831403263
51,22.40629283545888,-10.237424543762934
52,22.403775929270306,-10.24347995727432
53,22.415947201336206,-10.24851101362329
54,22.41951593118058,-10.25708195530916
55,22.416999024992005,-10.263137368820544
56,22.415947201336206,-10.24851101362329
57,22.4392379218122,-10.243946771123973
58,22.451409193878103,-10.248977827472944
59,22.428118473402105,-10.253542069972259
60,22.41951593118058,-10.25708195530916
61,22.436721015623625,-10.250002184635358
62,22.465045548476777,-10.233327115113273
63,22.470079360853926,-10.221216288090503
64,22.450357370222303,-10.234351472275687
65,22.427066649746305,-10.238915714775004
66,22.423497919901926,-10.230344773089133
67,22.41846410752478,-10.242455600111905
68,22.41846410752478,-10.242455600111905
69,22.423497919901926,-10.230344773089133
70,22.429583555934876,-10.232860301263619
71,22.428118473402105,-10.253542069972259
72,22.43420410943505,-10.256057598146743
73,22.4392379218122,-10.243946771123973
74,22.433152285779254,-10.241431242949488
75,22.42454974355773,-10.24497112828639
76,22.42454974355773,-10.24497112828639
77,22.429583555934876,-10.232860301263619
78,22.428531732279076,-10.218233946066363
79,22.426014826090505,-10.224289359577748
80,22.433152285779254,-10.241431242949488
81,22.433152285779254,-10.241431242949488
82,22.427066649746305,-10.238915714775004
83,22.42454974355773,-10.24497112828639
84,22.43420410943505,-10.256057598146743
85,22.441754828000775,-10.237891357612588
86,22.420981013713355,-10.236400186600518
87,22.40020719942593,-10.23490901558845
88,22.41237847149183,-10.239940071937419
89,22.43063537959068,-10.247486656460874
90,22.43420410943505,-10.256057598146743
91,22.429170297057905,-10.268168425169513
92,22.440289745468004,-10.25857312632123
93,22.44427173418935,-10.231835944101203
94,22.44070300434498,-10.223265002415333
95,22.423497919901926,-10.230344773089133
96,22.41237847149183,-10.239940071937419
97,22.415947201336206,-10.24851101362329
98,22.410913388959056,-10.26062184064606
99,22.40734465911468,-10.25205089896019
100,22.41846410752478,-10.242455600111905
101,22.41846410752478,-10.242455600111905
102,22.435669191967825,-10.235375829438103
103,22.438186098156404,-10.229320415926718
104,22.420981013713355,-10.236400186600518
105,22.41343029514763,-10.254566427134675
106,22.416999024992005,-10.263137368820544
107,22.415947201336206,-10.24851101362329
108,22.422032837369155,-10.251026541797774
109,22.416999024992005,-10.263137368820544
110,22.399793940548957,-10.270217139494346
111,22.387622668483058,-10.265186083145375
112,22.38657084482726,-10.25055972794812
113,22.41237847149183,-10.239940071937419
114,22.43063537959068,-10.247486656460874
115,22.428118473402105,-10.253542069972259
116,22.43063537959068,-10.247486656460874
117,22.433152285779254,-10.241431242949488
118,22.41951593118058,-10.25708195530916
119,22.416999024992005,-10.263137368820544
120,22.428118473402105,-10.253542069972259
121,22.428118473402105,-10.253542069972259
122,22.422032837369155,-10.251026541797774
123,22.428118473402105,-10.253542069972259
124,22.42560156721353,-10.259597483483644
125,22.41951593118058,-10.25708195530916
126,22.422032837369155,-10.251026541797774
127,22.423497919901926,-10.230344773089133
128,22.426014826090505,-10.224289359577748
129,22.42454974355773,-10.24497112828639
130,22.435255933090858,-10.270683953344
131,22.441341569123807,-10.273199481518484
132,22.43777283927943,-10.264628539832614
133,22.431687203246476,-10.262113011658128
134,22.431687203246476,-10.262113011658128
135,22.440289745468004,-10.25857312632123
136,22.43777283927943,-10.264628539832614
137,22.422032837369155,-10.251026541797774
138,22.427066649746305,-10.238915714775004
139,22.433152285779254,-10.241431242949488
140,22.436721015623625,-10.250002184635358
141,22.43063537959068,-10.247486656460874
142,22.422032837369155,-10.251026541797774
143,22.404827752926106,-10.258106312471575
144,22.404827752926106,-10.258106312471575
145,22.422032837369155,-10.251026541797774
146,22.428118473402105,-10.253542069972259
147,22.42560156721353,-10.259597483483644
148,22.41951593118058,-10.25708195530916
149,22.398742116893157,-10.25559078429709
150,22.40125902308173,-10.249535370785704
151,22.40629283545888,-10.237424543762934
152,22.397690293237357,-10.240964429099835
153,22.404827752926106,-10.258106312471575
154,22.41343029514763,-10.254566427134675
155,22.415947201336206,-10.24851101362329
156,22.40125902308173,-10.249535370785704
157,22.40734465911468,-10.25205089896019
158,22.42560156721353,-10.259597483483644
159,22.429170297057905,-10.268168425169513
160,22.429170297057905,-10.268168425169513
161,22.431687203246476,-10.262113011658128
162,22.428118473402105,-10.253542069972259
163,22.41846410752478,-10.242455600111905
164,22.420981013713355,-10.236400186600518
165,22.429583555934876,-10.232860301263619
166,22.429583555934876,-10.232860301263619
167,22.41846410752478,-10.242455600111905
168,22.41951593118058,-10.25708195530916
169,22.43273902690228,-10.276739366855384
170,22.43777283927943,-10.264628539832614
171,22.42560156721353,-10.259597483483644
172,22.416999024992005,-10.263137368820544
173,22.423084661024955,-10.265652896995029
174,22.428118473402105,-10.253542069972259
175,22.433152285779254,-10.241431242949488
176,22.41237847149183,-10.239940071937419
177,22.40629283545888,-10.237424543762934
178,22.414895377680406,-10.233884658426033
179,22.42454974355773,-10.24497112828639
180,22.43063537959068,-10.247486656460874
181,22.43063537959068,-10.247486656460874
182,22.43420410943505,-10.256057598146743
183,22.43420410943505,-10.256057598146743
184,22.42560156721353,-10.259597483483644
185,22.41343029514763,-10.254566427134675
186,22.404827752926106,-10.258106312471575
187,22.41343029514763,-10.254566427134675
188,22.428118473402105,-10.253542069972259
189,22.43420410943505,-10.256057598146743
190,22.44280665165658,-10.252517712809844
191,22.44385847531238,-10.267144068007099
192,22.426653390869326,-10.274223838680898
193,22.40839648277048,-10.266677254157445
194,22.40839648277048,-10.266677254157445
195,22.41448211880343,-10.26919278233193
196,22.410913388959056,-10.26062184064606
197,22.41237847149183,-10.239940071937419
198,22.41846410752478,-10.242455600111905
199,22.41951593118058,-10.25708195530916
200,22.40734465911468,-10.25205089896019
201,22.409861565303256,-10.245995485448804
202,22.41343029514763,-10.254566427134675
203,22.415947201336206,-10.24851101362329
204,22.420981013713355,-10.236400186600518
205,22.427066649746305,-10.238915714775004
206,22.42560156721353,-10.259597483483644
207,22.416999024992005,-10.263137368820544
208,22.41448211880343,-10.26919278233193
209,22.429170297057905,-10.268168425169513
210,22.440289745468004,-10.25857312632123
211,22.428118473402105,-10.253542069972259
212,22.41951593118058,-10.25708195530916
213,22.41237847149183,-10.239940071937419
214,22.403775929270306,-10.24347995727432
215,22.41343029514763,-10.254566427134675
216,22.423084661024955,-10.265652896995029
217,22.41951593118058,-10.25708195530916
218,22.41846410752478,-10.242455600111905
219,22.415947201336206,-10.24851101362329
220,22.41951593118058,-10.25708195530916
221,22.422032837369155,-10.251026541797774
222,22.42454974355773,-10.24497112828639
223,22.42454974355773,-10.24497112828639
224,22.42560156721353,-10.259597483483644
225,22.43420410943505,-10.256057598146743
