frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328.0,392.0,-17193.0,1082130432,32768,128,1,299.10884353741494,-18481.190476190477,56.162663138857695,-1696.8530482963745,1697.7822334573852,-88.10430886162499
131328.0,-810.0,-18005.0,1082130432,32768,128,1,-902.8911564625851,-19293.190476190477,18.99645205694276,-1637.1683095247474,1637.2785159840312,-89.33521331933991
131328.0,-1163.0,-17590.0,1082130432,32768,128,1,-1255.891156462585,-18878.190476190477,6.4407133397000464,-1560.810551107407,1560.8238399116449,-89.76356925792865
131328.0,273.0,-17477.0,1082130432,32768,128,1,180.10884353741497,-18765.190476190477,52.99441800284096,-1709.2746585754824,1710.0959817471626,-88.22416828380207
131328.0,-221.0,-16769.0,1082130432,32768,128,1,-313.89115646258506,-18057.190476190477,35.10400683822018,-1590.9624353875492,1591.3496668269922,-88.73599458709926
131328.0,-582.0,-15811.0,1082130432,32768,128,1,-674.8911564625851,-17099.190476190477,20.92384821492036,-1464.8361291288331,1464.9855605517976,-89.1816376970109
131328.0,-570.0,-17517.0,1082130432,32768,128,1,-662.8911564625851,-18805.190476190477,25.599057614643066,-1619.748208947983,1619.9504844719656,-89.09455318214407
131328.0,70.0,-16725.0,1082130432,32768,128,1,-22.89115646258503,-18013.190476190477,44.48495493212742,-1619.1484665653854,1619.7594475712597,-88.42623502222719
131328.0,505.0,-17629.0,1082130432,32768,128,1,412.10884353741494,-18917.190476190477,60.94314722887964,-1748.5882000412819,1749.6498965558142,-88.00389118845726
131328.0,340.0,-16718.0,1082130432,32768,128,1,247.10884353741497,-18006.190476190477,53.27386219242054,-1648.3456014445014,1649.2062715725804,-88.14886797095308
131328.0,-755.0,-16664.0,1082130432,32768,128,1,-847.8911564625851,-17952.190476190477,17.423079896352082,-1522.5177570459168,1522.6174451362378,-89.3443587987226
131328.0,-574.0,-17681.0,1082130432,32768,128,1,-666.8911564625851,-18969.190476190477,25.88039941702384,-1634.0707851494046,1634.2757190733687,-89.09262578777921
131328.0,-1207.0,-17269.0,1082130432,32768,128,1,-1299.891156462585,-18557.190476190477,4.199543245693768,-1527.0510672576434,1527.0568418288103,-89.84243127003045
131328.0,-749.0,-16571.0,1082130432,32768,128,1,-841.8911564625851,-17859.190476190477,17.38525414703495,-1514.8080559324935,1514.907816792737,-89.34245269364268
131328.0,44.0,-17442.0,1082130432,32768,128,1,-48.89115646258503,-18730.190476190477,45.4373286277681,-1680.8257154507091,1681.4397510922643,-88.45151507189541
131328.0,-1073.0,-16334.0,1082130432,32768,128,1,-1165.891156462585,-17622.190476190477,6.222359692369892,-1457.6788166493895,1457.6920972100058,-89.7554243228945
131328.0,630.0,-17272.0,1082130432,32768,128,1,537.1088435374149,-18560.190476190477,64.1237871324752,-1730.2574328564247,1731.4452471941224,-87.8775749551149
131328.0,-346.0,-16374.0,1082130432,32768,128,1,-438.89115646258506,-17662.190476190477,30.035075499336862,-1541.5927403638495,1541.885301474391,-88.88383921189643
131328.0,-1244.0,-16692.0,1082130432,32768,128,1,-1336.891156462585,-17980.190476190477,1.5438667987098356,-1471.0179185772863,1471.0187287387419,-89.93986679692958
131328.0,-943.0,-17626.0,1082130432,32768,128,1,-1035.891156462585,-18914.190476190477,13.706764259244146,-1588.3552772641708,1588.414417650318,-89.50557645351697
131328.0,-965.0,-15919.0,1082130432,32768,128,1,-1057.891156462585,-17207.190476190477,8.702877743261581,-1432.2484544808667,1432.2748952082648,-89.65185368088682
131328.0,508.0,-17091.0,1082130432,32768,128,1,415.10884353741494,-18379.190476190477,59.69006515150308,-1700.484975580972,1701.532267121141,-87.98964103262186
131328.0,-823.0,-17380.0,1082130432,32768,128,1,-915.8911564625851,-18668.190476190477,17.0030449864047,-1579.4651725550211,1579.5566893445366,-89.38323104315177
131328.0,432.0,-16423.0,1082130432,32768,128,1,339.10884353741494,-17711.190476190477,55.53383760002383,-1631.9509593159921,1632.8955694504696,-88.05102771368377
131328.0,-670.0,-17941.0,1082130432,32768,128,1,-762.8911564625851,-19229.190476190477,23.402071668686595,-1646.8725886129755,1647.0388520260196,-89.18588134304493
131328.0,-1171.0,-17027.0,1082130432,32768,128,1,-1263.891156462585,-18315.190476190477,4.766072916746978,-1509.241459058357,1509.248984492501,-89.8190647668746
131328.0,-1008.0,-17110.0,1082130432,32768,128,1,-1100.891156462585,-18398.190476190477,10.290995335630711,-1534.7205843066638,1534.7550868068772,-89.61581165406658
131328.0,-1070.0,-17244.0,1082130432,32768,128,1,-1162.891156462585,-18532.190476190477,8.605243038260184,-1539.9349928247052,1539.9590359271808,-89.67983130575156
131328.0,268.0,-17040.0,1082130432,32768,128,1,175.10884353741497,-18328.190476190477,51.7340166634569,-1669.3804097609118,1670.1818347035285,-88.22497470105989
131328.0,-835.0,-17337.0,1082130432,32768,128,1,-927.8911564625851,-18625.190476190477,16.503671566580337,-1574.2683436039968,1574.3548484534383,-89.39936790779811
131328.0,-425.0,-17604.0,1082130432,32768,128,1,-517.8911564625851,-18892.190476190477,30.546925174158865,-1643.5989546810379,1643.882793409006,-88.9352582580264
131328.0,-1408.0,-16470.0,1082130432,32768,128,1,-1500.891156462585,-17758.190476190477,-4.362704821642247,-1432.9145395102657,1432.9211809214341,-90.1744443190981
131328.0,1013.0,-16920.0,1082130432,32768,128,1,920.1088435374149,-18208.190476190477,75.73206729800337,-1740.8784681707637,1742.5249458638502,-87.50907726783574
131328.0,-517.0,-16293.0,1082130432,32768,128,1,-609.8911564625851,-17581.190476190477,24.254242259810685,-1515.4098969332936,1515.6039799337334,-89.08305529887268
131328.0,-91.0,-16300.0,1082130432,32768,128,1,-183.89115646258503,-17588.190476190477,38.16649489240595,-1563.1009785166007,1563.5668678927443,-88.60127741126296
131328.0,-457.0,-16555.0,1082130432,32768,128,1,-549.8911564625851,-17843.190476190477,26.869127573638018,-1545.6253205764508,1545.8588491914857,-89.00407133762495
131328.0,-1092.0,-16731.0,1082130432,32768,128,1,-1184.891156462585,-18019.190476190477,6.5995213809659035,-1491.3206592395627,1491.3352615549534,-89.74645140779786
131328.0,-361.0,-16316.0,1082130432,32768,128,1,-453.89115646258506,-17604.190476190477,29.40018686471601,-1534.7140885309382,1534.9956692196329,-88.90253134393507
131328.0,-420.0,-16486.0,1082130432,32768,128,1,-512.8911564625851,-17774.190476190477,27.90268132488272,-1543.5008913489248,1543.7530765054505,-88.96434672028224
131328.0,7.0,-17875.0,1082130432,32768,128,1,-85.89115646258503,-19163.190476190477,45.31778828402972,-1715.720049257909,1716.3184405466598,-88.48698251829616
131328.0,-703.0,-16088.0,1082130432,32768,128,1,-795.8911564625851,-17376.190476190477,17.67279267990702,-1476.406605784501,1476.5123748906467,-89.31419429384893
131328.0,-1442.0,-16299.0,1082130432,32768,128,1,-1534.891156462585,-17587.190476190477,-5.9010549485138455,-1413.7638529718301,1413.776168429522,-90.23915138232503
131328.0,-759.0,-16252.0,1082130432,32768,128,1,-851.8911564625851,-17540.190476190477,16.258070812129464,-1484.9846600663168,1485.0736565904085,-89.37273316734863
131328.0,289.0,-17150.0,1082130432,32768,128,1,196.10884353741497,-18438.190476190477,52.69517829625626,-1681.6033059860388,1682.4287386153535,-88.20515121611935
131328.0,-336.0,-16173.0,1082130432,32768,128,1,-428.89115646258506,-17461.190476190477,29.85652539494762,-1524.6019868304927,1524.8943013717853,-88.87811095448323
131328.0,-887.0,-17460.0,1082130432,32768,128,1,-979.8911564625851,-18748.190476190477,15.1164640753321,-1579.5971685615878,1579.6694978424841,-89.45170631380152
131328.0,-733.0,-16023.0,1082130432,32768,128,1,-825.8911564625851,-17311.190476190477,16.531077728749988,-1467.240689848248,1467.3338128991768,-89.35448838311
131328.0,-947.0,-16452.0,1082130432,32768,128,1,-1039.891156462585,-17740.190476190477,10.628353481285792,-1482.221445972176,1482.2595510900146,-89.58916438384549
131328.0,-1137.0,-17392.0,1082130432,32768,128,1,-1229.891156462585,-18680.190476190477,6.791562057509296,-1545.857424411234,1545.8723433461494,-89.74827863654004
131328.0,-1047.0,-16598.0,1082130432,32768,128,1,-1139.891156462585,-17886.190476190477,7.733302350475611,-1484.3182611504947,1484.33840627738,-89.70149152713032
131328.0,-505.0,-17940.0,1082130432,32768,128,1,-597.8911564625851,-19228.190476190477,28.781301134690334,-1665.010371339804,1665.2591089569567,-89.00968612914484
131328.0,-1220.0,-16111.0,1082130432,32768,128,1,-1312.891156462585,-17399.190476190477,0.867759399878608,-1421.3634271533947,1421.3636920421245,-89.96502024456318
131328.0,-720.0,-18184.0,1082130432,32768,128,1,-812.8911564625851,-19472.190476190477,22.381420496897096,-1663.2256219673673,1663.3762044565249,-89.2290381282578
131328.0,-503.0,-16812.0,1082130432,32768,128,1,-595.8911564625851,-18100.190476190477,26.014097199841704,-1563.6806211777227,1563.896997343454,-89.04688945369894
131328.0,-551.0,-17557.0,1082130432,32768,128,1,-643.8911564625851,-18845.190476190477,26.319214220223582,-1625.4482572954958,1625.66132333341,-89.07234935255829
131328.0,1067.0,-16622.0,1082130432,32768,128,1,974.1088435374149,-17910.190476190477,76.74507848449504,-1720.0158245467753,1721.7271107126455,-87.44522434351285
131328.0,-1395.0,-16992.0,1082130432,32768,128,1,-1487.891156462585,-18280.190476190477,-2.627933413118349,-1481.3448738104685,1481.3472048100596,-90.101643674016
131328.0,-971.0,-17214.0,1082130432,32768,128,1,-1063.891156462585,-18502.190476190477,11.758956558025382,-1548.170862475521,1548.2155187432827,-89.5648247599409
131328.0,-970.0,-17521.0,1082130432,32768,128,1,-1062.891156462585,-18809.190476190477,12.562458101419736,-1575.9196876387,1575.969757717707,-89.5432758472993
131328.0,-1229.0,-16739.0,1082130432,32768,128,1,-1321.891156462585,-18027.190476190477,2.1511341490379223,-1476.9062710959772,1476.907837673276,-89.91654797385426
131328.0,-762.0,-16446.0,1082130432,32768,128,1,-854.8911564625851,-17734.190476190477,16.64735999889567,-1502.1185241546268,1502.2107692342665,-89.36504050460186
131328.0,-1205.0,-16597.0,1082130432,32768,128,1,-1297.891156462585,-17885.190476190477,2.5773670960728197,-1466.773725030538,1466.7759894616179,-89.89932182288585
131328.0,-127.0,-16618.0,1082130432,32768,128,1,-219.89115646258503,-17906.190476190477,37.790803185557344,-1587.75265470505,1588.202328838597,-88.63653524296588
131328.0,-154.0,-16874.0,1082130432,32768,128,1,-246.89115646258503,-18162.190476190477,37.55297735770485,-1607.8168880281016,1608.2553813175311,-88.66201431363847
131328.0,336.0,-17720.0,1082130432,32768,128,1,243.10884353741497,-19008.190476190477,55.659443652741665,-1738.1109799474798,1739.0019414255182,-88.1658468148197
131328.0,-1187.0,-16083.0,1082130432,32768,128,1,-1279.891156462585,-17371.190476190477,1.8737987745939861,-1422.4882272500931,1422.4894613975039,-89.924526124514
131328.0,-1174.0,-16246.0,1082130432,32768,128,1,-1266.891156462585,-17534.190476190477,2.707111904835564,-1438.5987930225408,1438.6013401011332,-89.89218265405928
131328.0,-424.0,-17941.0,1082130432,32768,128,1,-516.8911564625851,-19229.190476190477,31.42575749289714,-1674.0485961557283,1674.3435371885207,-88.92455224103281
