frq I Q
4104.00 -14031.00 13296.00
131328.00 283.00 -1035.00
4104.00 -14045.00 13342.00
131328.00 319.00 -1081.00
4104.00 -14214.00 13323.00
131328.00 367.00 -1170.00
4104.00 -14168.00 13452.00
131328.00 383.00 -1178.00
4104.00 -14160.00 13426.00
131328.00 374.00 -1155.00
4104.00 -14203.00 13314.00
131328.00 370.00 -1124.00
4104.00 -14056.00 13321.00
131328.00 350.00 -1154.00
4104.00 -14145.00 13432.00
131328.00 360.00 -1166.00
4104.00 -14064.00 13362.00
131328.00 280.00 -1076.00
4104.00 -14195.00 13462.00
131328.00 378.00 -1141.00
4104.00 -14182.00 13453.00
131328.00 341.00 -1149.00
4104.00 -14035.00 13303.00
131328.00 336.00 -1113.00
4104.00 -14057.00 13348.00
131328.00 294.00 -1103.00
4104.00 -14196.00 13297.00
131328.00 368.00 -1132.00
4104.00 -14060.00 13352.00
131328.00 310.00 -1071.00
4104.00 -14111.00 13408.00
131328.00 363.00 -1155.00
4104.00 -14013.00 13295.00
131328.00 314.00 -1116.00
4104.00 -14198.00 13297.00
131328.00 357.00 -1094.00
4104.00 -14169.00 13309.00
131328.00 367.00 -1128.00
4104.00 -14142.00 13432.00
131328.00 339.00 -1158.00
4104.00 -14162.00 13445.00
131328.00 319.00 -1122.00
4104.00 -14065.00 13282.00
131328.00 285.00 -1053.00
4104.00 -14206.00 13444.00
131328.00 392.00 -1163.00
4104.00 -14056.00 13340.00
131328.00 235.00 -1047.00
4104.00 -14035.00 13323.00
131328.00 289.00 -1101.00
4104.00 -14187.00 13456.00
131328.00 276.00 -1038.00
4104.00 -14202.00 13463.00
131328.00 340.00 -1153.00
4104.00 -14024.00 13324.00
131328.00 336.00 -1142.00
4104.00 -14057.00 13282.00
131328.00 298.00 -1099.00
4104.00 -14038.00 13347.00
131328.00 293.00 -1077.00
4104.00 -14181.00 13450.00
131328.00 405.00 -1178.00
4104.00 -14183.00 13467.00
131328.00 357.00 -1154.00
4104.00 -14189.00 13307.00
131328.00 341.00 -1146.00
4104.00 -14167.00 13440.00
131328.00 269.00 -1018.00
4104.00 -14113.00 13403.00
131328.00 343.00 -1125.00
4104.00 -14191.00 13449.00
131328.00 241.00 -998.00
4104.00 -14225.00 13501.00
131328.00 351.00 -1127.00
4104.00 -14055.00 13343.00
131328.00 277.00 -1096.00
4104.00 -14068.00 13297.00
131328.00 382.00 -1135.00
4104.00 -14070.00 13373.00
131328.00 308.00 -1092.00
4104.00 -14213.00 13303.00
131328.00 370.00 -1147.00
4104.00 -14204.00 13466.00
131328.00 319.00 -1107.00
4104.00 -14086.00 13390.00
131328.00 310.00 -1114.00
4104.00 -14195.00 13307.00
131328.00 381.00 -1162.00
4104.00 -14196.00 13317.00
131328.00 411.00 -1170.00
4104.00 -13995.00 13288.00
131328.00 107.00 -905.00
4104.00 -14213.00 13324.00
131328.00 339.00 -1102.00
4104.00 -14205.00 13452.00
131328.00 377.00 -1165.00
4104.00 -14135.00 13425.00
131328.00 386.00 -1188.00
4104.00 -14187.00 13460.00
131328.00 376.00 -1148.00
4104.00 -14055.00 13302.00
131328.00 317.00 -1108.00
4104.00 -14187.00 13459.00
131328.00 371.00 -1143.00
4104.00 -14087.00 13384.00
131328.00 262.00 -1058.00
4104.00 -14206.00 13327.00
131328.00 427.00 -1186.00
4104.00 -14205.00 13380.00
131328.00 377.00 -1141.00
4104.00 -14100.00 13207.00
131328.00 286.00 -1081.00
4104.00 -14029.00 13291.00
131328.00 259.00 -1051.00
4104.00 -14092.00 13390.00
131328.00 342.00 -1104.00
4104.00 -14191.00 13453.00
131328.00 429.00 -1180.00
4104.00 -14141.00 13435.00
131328.00 348.00 -1130.00
4104.00 -14195.00 13459.00
131328.00 363.00 -1172.00
4104.00 -14205.00 13355.00
131328.00 384.00 -1177.00
4104.00 -14132.00 13421.00
131328.00 412.00 -1164.00
4104.00 -14194.00 13449.00
131328.00 326.00 -1127.00
4104.00 -14193.00 13314.00
131328.00 202.00 -964.00
4104.00 -14173.00 13477.00
131328.00 341.00 -1112.00
4104.00 -14160.00 13441.00
131328.00 349.00 -1128.00
4104.00 -14039.00 13290.00
131328.00 228.00 -1035.00
4104.00 -14045.00 13342.00
131328.00 286.00 -1081.00
4104.00 -14200.00 13436.00
131328.00 381.00 -1170.00
4104.00 -14061.00 13354.00
131328.00 319.00 -1104.00
4104.00 -14185.00 13296.00
131328.00 332.00 -1095.00
4104.00 -14040.00 13288.00
131328.00 314.00 -1101.00
4104.00 -14169.00 13449.00
131328.00 369.00 -1154.00
4104.00 -14056.00 13328.00
131328.00 339.00 -1127.00
4104.00 -14182.00 13435.00
131328.00 371.00 -1169.00
4104.00 -14042.00 13329.00
131328.00 304.00 -1092.00
4104.00 -14153.00 13440.00
131328.00 373.00 -1142.00
4104.00 -14035.00 13309.00
131328.00 303.00 -1065.00
4104.00 -14204.00 13462.00
131328.00 345.00 -1142.00
4104.00 -14199.00 13332.00
131328.00 363.00 -1171.00
4104.00 -14098.00 13397.00
131328.00 311.00 -1081.00
4104.00 -14168.00 13450.00
131328.00 400.00 -1163.00
4104.00 -14209.00 13462.00
131328.00 240.00 -1045.00
4104.00 -14195.00 13467.00
