frq I Q Mdiv Clk DAC Kdiv
131328.00 -1928.00 1153.00 1082130432 32768 128 1
4104.00 -12028.00 11216.00 1082130432 32768 128 32
131328.00 -1963.00 1177.00 1082130432 32768 128 1
4104.00 -11750.00 11074.00 1082130432 32768 128 32
131328.00 -2228.00 1499.00 1082130432 32768 128 1
4104.00 -11793.00 11126.00 1082130432 32768 128 32
131328.00 -2055.00 1299.00 1082130432 32768 128 1
4104.00 -11793.00 11099.00 1082130432 32768 128 32
131328.00 -1934.00 1194.00 1082130432 32768 128 1
4104.00 -11724.00 11049.00 1082130432 32768 128 32
131328.00 -2098.00 1314.00 1082130432 32768 128 1
4104.00 -11715.00 11016.00 1082130432 32768 128 32
131328.00 -1936.00 1125.00 1082130432 32768 128 1
4104.00 -11818.00 11163.00 1082130432 32768 128 32
131328.00 -1900.00 1140.00 1082130432 32768 128 1
4104.00 -11879.00 11208.00 1082130432 32768 128 32
131328.00 -1899.00 1129.00 1082130432 32768 128 1
4104.00 -11894.00 11180.00 1082130432 32768 128 32
131328.00 -2071.00 1296.00 1082130432 32768 128 1
4104.00 -11905.00 11096.00 1082130432 32768 128 32
131328.00 -2119.00 1315.00 1082130432 32768 128 1
4104.00 -11856.00 11148.00 1082130432 32768 128 32
131328.00 -2094.00 1322.00 1082130432 32768 128 1
4104.00 -11689.00 10933.00 1082130432 32768 128 32
131328.00 -1927.00 1127.00 1082130432 32768 128 1
4104.00 -12015.00 11161.00 1082130432 32768 128 32
131328.00 -1962.00 1173.00 1082130432 32768 128 1
4104.00 -12000.00 11161.00 1082130432 32768 128 32
131328.00 -2000.00 1198.00 1082130432 32768 128 1
4104.00 -11950.00 11153.00 1082130432 32768 128 32
131328.00 -2020.00 1254.00 1082130432 32768 128 1
4104.00 -11792.00 11096.00 1082130432 32768 128 32
131328.00 -1991.00 1223.00 1082130432 32768 128 1
4104.00 -11881.00 11087.00 1082130432 32768 128 32
131328.00 -1990.00 1239.00 1082130432 32768 128 1
4104.00 -11769.00 11067.00 1082130432 32768 128 32
131328.00 -1916.00 1163.00 1082130432 32768 128 1
4104.00 -11976.00 11130.00 1082130432 32768 128 32
131328.00 -1947.00 1169.00 1082130432 32768 128 1
4104.00 -12024.00 11206.00 1082130432 32768 128 32
131328.00 -1944.00 1146.00 1082130432 32768 128 1
4104.00 -11717.00 11039.00 1082130432 32768 128 32
131328.00 -1911.00 1153.00 1082130432 32768 128 1
4104.00 -11568.00 10897.00 1082130432 32768 128 32
131328.00 -2010.00 1242.00 1082130432 32768 128 1
4104.00 -11876.00 11199.00 1082130432 32768 128 32
131328.00 -1871.00 1108.00 1082130432 32768 128 1
4104.00 -11765.00 11078.00 1082130432 32768 128 32
131328.00 -1995.00 1237.00 1082130432 32768 128 1
4104.00 -11825.00 11159.00 1082130432 32768 128 32
131328.00 -1922.00 1180.00 1082130432 32768 128 1
4104.00 -11906.00 11205.00 1082130432 32768 128 32
131328.00 -1897.00 1136.00 1082130432 32768 128 1
4104.00 -11711.00 11025.00 1082130432 32768 128 32
131328.00 -1948.00 1181.00 1082130432 32768 128 1
4104.00 -11949.00 11108.00 1082130432 32768 128 32
131328.00 -2067.00 1287.00 1082130432 32768 128 1
4104.00 -11865.00 11208.00 1082130432 32768 128 32
