frq I Q Mdiv Clk DAC Kdiv
131328.00 1177.00 -1992.00 1082130432 32768 128 1
4104.00 6989.00 -7796.00 1082130432 32768 128 32
131328.00 846.00 -1625.00 1082130432 32768 128 1
4104.00 8881.00 -9728.00 1082130432 32768 128 32
131328.00 497.00 -1282.00 1082130432 32768 128 1
4104.00 8756.00 -9465.00 1082130432 32768 128 32
131328.00 208.00 -992.00 1082130432 32768 128 1
4104.00 7683.00 -8527.00 1082130432 32768 128 32
131328.00 391.00 -1172.00 1082130432 32768 128 1
4104.00 7313.00 -8137.00 1082130432 32768 128 32
131328.00 640.00 -1417.00 1082130432 32768 128 1
4104.00 6759.00 -7553.00 1082130432 32768 128 32
131328.00 1396.00 -2141.00 1082130432 32768 128 1
4104.00 7959.00 -8779.00 1082130432 32768 128 32
131328.00 820.00 -1596.00 1082130432 32768 128 1
4104.00 8078.00 -8846.00 1082130432 32768 128 32
131328.00 214.00 -1025.00 1082130432 32768 128 1
4104.00 8612.00 -9469.00 1082130432 32768 128 32
131328.00 1014.00 -1847.00 1082130432 32768 128 1
4104.00 8635.00 -9483.00 1082130432 32768 128 32
131328.00 399.00 -1199.00 1082130432 32768 128 1
4104.00 7452.00 -8222.00 1082130432 32768 128 32
131328.00 629.00 -1397.00 1082130432 32768 128 1
4104.00 8265.00 -9096.00 1082130432 32768 128 32
131328.00 296.00 -1044.00 1082130432 32768 128 1
4104.00 7239.00 -8069.00 1082130432 32768 128 32
131328.00 -8.00 -824.00 1082130432 32768 128 1
4104.00 8814.00 -9592.00 1082130432 32768 128 32
131328.00 1099.00 -1902.00 1082130432 32768 128 1
4104.00 8251.00 -9080.00 1082130432 32768 128 32
131328.00 844.00 -1624.00 1082130432 32768 128 1
4104.00 7029.00 -7818.00 1082130432 32768 128 32
131328.00 238.00 -987.00 1082130432 32768 128 1
4104.00 8492.00 -9338.00 1082130432 32768 128 32
131328.00 518.00 -1313.00 1082130432 32768 128 1
4104.00 8959.00 -9764.00 1082130432 32768 128 32
131328.00 690.00 -1411.00 1082130432 32768 128 1
4104.00 7441.00 -8250.00 1082130432 32768 128 32
131328.00 102.00 -852.00 1082130432 32768 128 1
4104.00 8639.00 -9400.00 1082130432 32768 128 32
131328.00 1118.00 -1883.00 1082130432 32768 128 1
4104.00 9035.00 -9795.00 1082130432 32768 128 32
131328.00 719.00 -1503.00 1082130432 32768 128 1
4104.00 7064.00 -7872.00 1082130432 32768 128 32
131328.00 685.00 -1491.00 1082130432 32768 128 1
4104.00 7952.00 -8772.00 1082130432 32768 128 32
131328.00 115.00 -884.00 1082130432 32768 128 1
4104.00 8261.00 -9037.00 1082130432 32768 128 32
131328.00 585.00 -1386.00 1082130432 32768 128 1
4104.00 7964.00 -8789.00 1082130432 32768 128 32
131328.00 -11.00 -778.00 1082130432 32768 128 1
4104.00 7923.00 -8763.00 1082130432 32768 128 32
131328.00 533.00 -1322.00 1082130432 32768 128 1
4104.00 7620.00 -8451.00 1082130432 32768 128 32
131328.00 821.00 -1590.00 1082130432 32768 128 1
4104.00 7978.00 -8750.00 1082130432 32768 128 32
131328.00 1144.00 -1949.00 1082130432 32768 128 1
4104.00 8035.00 -8807.00 1082130432 32768 128 32
131328.00 541.00 -1339.00 1082130432 32768 128 1
4104.00 8183.00 -8991.00 1082130432 32768 128 32
131328.00 1277.00 -2060.00 1082130432 32768 128 1
4104.00 9970.00 -10788.00 1082130432 32768 128 32
131328.00 665.00 -1447.00 1082130432 32768 128 1
4104.00 8128.00 -8960.00 1082130432 32768 128 32
131328.00 390.00 -1181.00 1082130432 32768 128 1
4104.00 7659.00 -8474.00 1082130432 32768 128 32
131328.00 158.00 -922.00 1082130432 32768 128 1
4104.00 7934.00 -8785.00 1082130432 32768 128 32
131328.00 1782.00 -2566.00 1082130432 32768 128 1
4104.00 9175.00 -10053.00 1082130432 32768 128 32
131328.00 377.00 -1143.00 1082130432 32768 128 1
4104.00 8953.00 -9790.00 1082130432 32768 128 32
131328.00 926.00 -1718.00 1082130432 32768 128 1
4104.00 8422.00 -9295.00 1082130432 32768 128 32
131328.00 396.00 -1163.00 1082130432 32768 128 1
4104.00 8300.00 -9103.00 1082130432 32768 128 32
131328.00 1223.00 -2000.00 1082130432 32768 128 1
4104.00 8567.00 -9366.00 1082130432 32768 128 32
131328.00 565.00 -1312.00 1082130432 32768 128 1
4104.00 7784.00 -8581.00 1082130432 32768 128 32
131328.00 598.00 -1372.00 1082130432 32768 128 1
4104.00 7422.00 -8215.00 1082130432 32768 128 32
131328.00 1205.00 -1986.00 1082130432 32768 128 1
4104.00 8413.00 -9242.00 1082130432 32768 128 32
131328.00 381.00 -1200.00 1082130432 32768 128 1
4104.00 8750.00 -9632.00 1082130432 32768 128 32
131328.00 376.00 -1153.00 1082130432 32768 128 1
4104.00 7424.00 -8232.00 1082130432 32768 128 32
131328.00 250.00 -963.00 1082130432 32768 128 1
4104.00 9540.00 -10266.00 1082130432 32768 128 32
131328.00 200.00 -999.00 1082130432 32768 128 1
4104.00 7029.00 -7803.00 1082130432 32768 128 32
131328.00 107.00 -877.00 1082130432 32768 128 1
4104.00 8421.00 -9242.00 1082130432 32768 128 32
131328.00 1265.00 -2054.00 1082130432 32768 128 1
4104.00 8364.00 -9194.00 1082130432 32768 128 32
