frq I Q
131328 177.01 -182.02
4104 440.08 -445.24
4104 439.8 -445.03
131328 185.01 -190.14
131328 170.01 -174.96
4104 437.4 -442.64
4104 437.66 -442.95
131328 174.64 -179.75
131328 179.4 -184.46
4104 440.28 -445.56
131328 174.91 -180.0
131328 169.49 -174.57
4104 437.1 -442.32
4104 438.99 -444.3
131328 164.97 -169.91
131328 185.42 -190.45
4104 443.19 -448.55
131328 177.84 -182.97
4104 439.61 -444.78
131328 170.13 -175.08
4104 440.67 -445.93
4104 442.41 -447.7
131328 173.15 -178.26
131328 171.82 -176.85
131328 185.34 -190.47
4104 438.38 -443.55
131328 169.74 -174.72
4104 439.66 -444.87
131328 185.2 -190.2
4104 438.89 -444.17
4104 436.84 -442.17
4104 439.85 -445.06
131328 175.88 -180.98
131328 167.58 -172.52
4104 440.89 -446.15
4104 441.42 -446.69
131328 168.37 -173.38
131328 178.03 -182.95
131328 173.29 -178.21
4104 439.76 -445.03
4104 438.23 -443.55
131328 177.07 -182.11
131328 173.89 -178.79
4104 439.49 -444.71
4104 440.9 -446.16
131328 162.7 -167.84
131328 169.99 -175.08
4104 440.1 -445.37
131328 172.61 -177.56
4104 443.08 -448.33
4104 438.38 -443.61
131328 182.03 -187.14
131328 159.8 -164.83
4104 440.53 -445.76
131328 183.5 -188.55
4104 441.3 -446.5
131328 186.1 -191.16
4104 435.32 -440.55
4104 438.73 -444.0
131328 167.7 -172.84
4104 437.98 -443.17
131328 182.22 -187.33
131328 172.05 -177.04
4104 440.73 -445.97
4104 442.27 -447.55
131328 176.42 -181.39
131328 182.68 -187.75
4104 439.26 -444.5
4104 437.46 -442.73
131328 174.38 -179.48
4104 439.29 -444.55
131328 174.47 -179.57
131328 176.75 -181.75
4104 441.16 -446.37
4104 439.93 -445.16
131328 176.38 -181.42
131328 177.54 -182.61
4104 435.74 -441.02
4104 434.85 -440.11
131328 185.63 -190.63
4104 440.22 -445.52
131328 179.62 -184.61
131328 190.02 -195.02
4104 437.94 -443.2
131328 164.61 -169.72
4104 441.02 -446.23
131328 162.61 -167.62
4104 442.21 -447.48
131328 183.11 -188.13
4104 443.73 -448.93
4104 438.54 -443.88
131328 185.3 -190.16
131328 162.01 -167.13
4104 436.53 -441.83
131328 181.1 -186.17
4104 440.94 -446.23
4104 442.17 -447.39
131328 175.67 -180.62
131328 185.63 -190.57
4104 439.61 -444.9
4104 438.38 -443.63
131328 171.05 -176.03
131328 183.49 -188.47
4104 438.45 -443.72
4104 436.22 -441.53
131328 175.89 -180.84
131328 179.25 -184.22
4104 438.57 -443.94
4104 440.39 -445.67
131328 174.45 -179.5
131328 173.32 -178.32
4104 439.34 -444.61
4104 438.51 -443.74
131328 166.48 -171.44
131328 182.18 -187.21
4104 441.16 -446.41
4104 443.06 -448.39
131328 178.56 -183.44
4104 433.85 -439.18
131328 173.5 -178.54
4104 443.99 -449.29
131328 185.38 -190.34
131328 168.92 -173.91
4104 441.01 -446.26
4104 444.86 -450.13
131328 173.13 -178.21
131328 177.04 -182.09
131328 149.32 -154.24
4104 434.68 -439.96
4104 441.27 -446.59
131328 182.87 -187.83
4104 442.4 -447.69
131328 165.26 -170.35
4104 439.77 -445.03
4104 437.62 -442.85
131328 184.72 -189.79
131328 164.7 -169.7
4104 440.37 -445.65
131328 162.12 -167.08
131328 180.77 -185.87
4104 438.18 -443.45
131328 166.45 -171.46
4104 440.57 -445.86
131328 180.31 -185.4
4104 436.39 -441.67
4104 437.53 -442.78
4104 435.22 -440.5
131328 187.26 -192.2
131328 179.77 -184.77
4104 441.62 -446.88
131328 167.23 -172.22
4104 438.44 -443.71
4104 438.51 -443.72
131328 172.72 -177.68
4104 441.16 -446.39
131328 171.57 -176.7
4104 435.93 -441.3
131328 164.51 -169.54
131328 169.39 -174.45
4104 442.41 -447.64
4104 438.72 -443.96
131328 172.03 -177.21
131328 172.11 -177.12
4104 442.37 -447.67
131328 173.51 -178.54
4104 441.34 -446.61
131328 182.36 -187.51
4104 437.93 -443.22
131328 170.94 -175.89
4104 440.5 -445.81
131328 174.4 -179.44
4104 441.02 -446.27
4104 441.55 -446.82
131328 173.69 -178.66
4104 440.84 -446.18
131328 169.01 -174.03
4104 437.74 -443.01
131328 182.23 -187.34
4104 439.42 -444.73
131328 172.48 -177.52
4104 441.32 -446.55
131328 163.63 -168.54
131328 183.2 -188.15
4104 441.57 -446.82
4104 436.95 -442.22
131328 169.54 -174.58
4104 437.65 -442.92
131328 187.0 -191.91
131328 166.8 -171.71
4104 438.55 -443.84
4104 437.14 -442.37
131328 168.96 -174.03
4104 442.94 -448.1
131328 168.98 -173.96
131328 168.1 -173.12
4104 437.66 -442.83
4104 440.23 -445.52
131328 186.42 -191.51
4104 438.36 -443.59
131328 172.37 -177.4
131328 178.39 -183.42
4104 440.26 -445.54
131328 168.8 -173.84
4104 439.73 -444.97
4104 435.81 -441.04
131328 169.99 -175.06
131328 185.45 -190.4
4104 438.06 -443.29
131328 168.13 -173.17
4104 441.47 -446.76
131328 157.26 -162.12
4104 439.31 -444.49
4104 436.66 -441.96
131328 166.88 -171.83
4104 436.61 -441.86
131328 165.1 -170.04
131328 169.15 -174.22
4104 441.61 -446.79
131328 182.58 -187.61
4104 439.51 -444.68
4104 434.87 -440.18
131328 180.13 -185.22
4104 439.85 -445.18
131328 186.63 -191.66
4104 438.37 -443.65
131328 190.0 -194.88
4104 441.24 -446.44
131328 189.09 -194.16
131328 176.07 -181.16
4104 440.9 -446.33
4104 438.08 -443.35
131328 171.37 -176.38
131328 171.76 -176.88
4104 437.4 -442.62
131328 169.77 -174.7
4104 439.06 -444.24
4104 440.0 -445.26
131328 176.22 -181.16
131328 184.38 -189.32
4104 436.09 -441.37
131328 190.9 -195.94
4104 437.38 -442.57
4104 443.28 -448.61
131328 186.72 -191.74
131328 172.58 -177.55
4104 440.59 -445.86
131328 170.25 -175.33
4104 438.36 -443.65
4104 440.76 -446.08
131328 187.38 -192.5
131328 167.42 -172.48
4104 440.27 -445.57
131328 181.38 -186.43
4104 444.88 -450.1
4104 438.68 -443.97
131328 170.58 -175.51
4104 438.18 -443.49
131328 193.55 -198.56
131328 178.82 -183.86
4104 443.22 -448.55
4104 442.17 -447.39
4104 440.07 -445.39
131328 181.34 -186.46
131328 192.92 -197.99
4104 439.13 -444.29
4104 436.55 -441.86
131328 163.23 -168.23
131328 177.78 -182.86
131328 180.02 -185.08
4104 438.83 -444.12
4104 439.84 -445.12
131328 177.36 -182.44
4104 434.81 -440.06
131328 187.28 -192.33
4104 441.1 -446.4
131328 186.56 -191.63
131328 172.62 -177.74
4104 439.21 -444.41
131328 170.46 -175.5
4104 439.06 -444.33
131328 168.86 -173.74
4104 442.58 -447.9
4104 435.65 -440.9
131328 175.62 -180.59
4104 441.06 -446.29
4104 437.49 -442.71
131328 169.86 -174.75
131328 163.42 -168.34
4104 436.42 -441.81
131328 168.46 -173.42
4104 438.55 -443.82
131328 179.03 -184.05
131328 174.88 -179.81
4104 438.98 -444.27
131328 163.59 -168.62
4104 437.94 -443.18
4104 439.04 -444.36
131328 186.42 -191.51
131328 183.28 -188.18
4104 440.89 -446.14
4104 441.32 -446.62
131328 182.32 -187.35
131328 203.25 -208.17
4104 442.25 -447.49
4104 443.27 -448.53
131328 183.35 -188.42
131328 185.77 -190.83
4104 437.16 -442.41
4104 445.23 -450.47
131328 181.47 -186.51
4104 438.36 -443.71
131328 180.22 -185.22
131328 175.31 -180.34
4104 439.02 -444.25
4104 439.51 -444.78
131328 167.05 -172.17
4104 437.79 -443.08
131328 171.17 -176.13
4104 437.14 -442.45
131328 168.82 -173.84
4104 435.19 -440.54
131328 174.42 -179.48
4104 437.95 -443.31
131328 171.04 -176.01
4104 439.97 -445.21
131328 171.72 -176.69
131328 164.66 -169.66
4104 440.71 -445.99
4104 438.85 -444.2
131328 170.21 -175.29
4104 439.57 -444.82
4104 441.45 -446.7
131328 188.94 -193.98
131328 184.2 -189.32
4104 437.74 -443.06
131328 176.66 -181.65
4104 439.59 -444.88
131328 194.05 -199.08
4104 440.24 -445.67
131328 178.96 -183.93
4104 440.2 -445.46
4104 438.82 -444.06
131328 184.92 -190.02
131328 183.37 -188.38
4104 441.65 -446.92
4104 437.96 -443.23
131328 186.75 -191.83
131328 171.47 -176.43
4104 439.37 -444.73
4104 436.82 -442.08
131328 177.9 -182.97
4104 440.47 -445.74
131328 171.87 -176.85
4104 441.19 -446.43
131328 180.66 -185.75
131328 187.07 -192.18
4104 437.83 -443.11
4104 438.35 -443.57
131328 164.88 -170.01
131328 183.91 -188.87
4104 438.12 -443.36
131328 163.41 -168.36
4104 439.59 -444.88
4104 437.22 -442.53
131328 177.67 -182.54
4104 439.94 -445.21
131328 185.32 -190.34
131328 184.85 -189.89
4104 439.33 -444.57
131328 191.67 -196.82
4104 439.79 -445.03
131328 172.92 -177.98
4104 435.46 -440.75
4104 437.55 -442.77
131328 185.83 -190.98
4104 438.03 -443.31
131328 166.68 -171.74
131328 166.53 -171.52
4104 437.75 -443.04
4104 436.33 -441.64
131328 178.3 -183.44
4104 438.43 -443.67
131328 186.53 -191.64
131328 181.69 -186.69
4104 437.55 -442.79
131328 165.86 -170.88
4104 440.86 -446.16
131328 174.17 -179.26
4104 435.59 -440.79
4104 437.78 -442.93
131328 184.37 -189.49
131328 179.21 -184.32
4104 442.16 -447.45
4104 439.76 -445.06
131328 182.69 -187.78
4104 442.65 -447.95
4104 440.69 -445.93
131328 167.31 -172.33
131328 166.94 -172.05
4104 436.0 -441.23
131328 183.85 -188.88
131328 173.21 -178.22
4104 441.02 -446.29
4104 437.16 -442.49
131328 174.83 -179.78
131328 179.85 -184.94
4104 441.75 -447.04
131328 170.46 -175.43
4104 439.18 -444.49
4104 439.4 -444.7
131328 187.22 -192.33
4104 434.44 -439.75
131328 181.02 -186.01
4104 437.83 -443.04
4104 436.75 -442.01
131328 177.48 -182.5
131328 179.81 -184.87
4104 440.86 -446.22
131328 168.52 -173.7
4104 438.28 -443.59
131328 166.89 -171.95
4104 438.34 -443.63
131328 169.61 -174.66
131328 170.5 -175.49
4104 439.18 -444.43
4104 437.17 -442.5
131328 178.72 -183.75
131328 176.34 -181.44
4104 441.62 -446.91
131328 179.21 -184.31
4104 435.87 -441.05
4104 438.6 -443.88
131328 182.81 -187.82
4104 435.65 -440.91
4104 442.14 -447.42
131328 167.97 -172.9
131328 179.92 -184.86
4104 438.03 -443.26
131328 189.0 -194.02
4104 439.07 -444.41
131328 161.63 -166.62
131328 164.89 -169.91
4104 439.71 -444.94
131328 174.6 -179.65
4104 438.92 -444.16
131328 189.21 -194.24
4104 439.04 -444.27
131328 174.46 -179.45
4104 439.03 -444.33
4104 439.02 -444.3
4104 438.42 -443.7
131328 181.22 -186.4
131328 178.71 -183.75
4104 440.93 -446.22
131328 185.68 -190.73
4104 439.19 -444.49
4104 441.24 -446.5
131328 178.36 -183.4
131328 176.54 -181.52
4104 438.42 -443.7
4104 436.61 -441.87
131328 178.97 -184.02
131328 187.73 -192.69
4104 437.54 -442.85
131328 161.75 -166.67
4104 436.1 -441.3
131328 169.37 -174.4
131328 156.51 -161.61
4104 432.42 -437.57
4104 433.73 -438.99
131328 152.98 -158.0
4104 438.14 -443.43
131328 168.62 -173.63
4104 434.81 -440.08
131328 180.5 -185.46
4104 439.28 -444.52
131328 177.06 -182.07
4104 442.19 -447.41
131328 153.94 -158.97
131328 179.01 -184.12
4104 437.2 -442.43
4104 438.26 -443.53
4104 439.53 -444.8
131328 172.7 -177.77
131328 171.82 -176.91
4104 435.21 -440.47
131328 172.3 -177.38
131328 176.16 -181.28
4104 442.24 -447.55
131328 186.09 -191.1
4104 440.14 -445.4
4104 436.64 -441.93
131328 184.63 -189.67
131328 176.32 -181.34
4104 439.13 -444.36
4104 438.39 -443.61
131328 185.59 -190.57
131328 161.3 -166.25
4104 436.19 -441.46
4104 441.82 -447.08
131328 195.67 -200.72
131328 182.18 -187.15
4104 439.53 -444.83
4104 438.71 -443.93
131328 193.37 -198.47
4104 441.57 -446.87
4104 433.92 -439.17
131328 170.58 -175.56
131328 162.98 -168.04
4104 436.06 -441.39
131328 191.87 -196.95
4104 437.27 -442.59
4104 435.65 -440.92
131328 186.16 -191.17
131328 169.77 -174.78
131328 172.77 -177.79
4104 439.74 -445.04
131328 190.47 -195.59
4104 436.03 -441.21
4104 444.07 -449.32
131328 173.74 -178.78
131328 170.97 -175.93
4104 436.77 -442.01
4104 444.26 -449.54
131328 164.12 -169.17
4104 437.81 -443.1
131328 186.04 -191.0
4104 432.74 -437.96
131328 182.39 -187.44
131328 175.11 -180.17
4104 438.68 -443.94
4104 437.8 -443.1
131328 173.7 -178.67
131328 162.71 -167.64
4104 439.62 -444.95
4104 440.78 -446.02
131328 157.83 -162.94
131328 169.26 -174.32
4104 439.92 -445.2
4104 442.63 -447.88
131328 176.25 -181.27
4104 437.82 -443.07
131328 165.08 -170.09
131328 166.02 -170.99
4104 435.39 -440.63
4104 437.05 -442.32
131328 170.14 -175.08
131328 188.15 -193.18
4104 439.04 -444.31
131328 169.19 -174.24
131328 188.61 -193.67
4104 442.73 -447.98
131328 164.53 -169.69
4104 439.53 -444.81
131328 181.58 -186.61
4104 437.17 -442.47
131328 162.86 -167.85
4104 436.83 -442.12
4104 437.22 -442.49
131328 171.95 -176.93
4104 438.15 -443.44
4104 439.21 -444.45
131328 170.19 -175.21
131328 184.37 -189.48
4104 435.79 -441.08
131328 172.93 -178.0
4104 441.41 -446.7
131328 168.72 -173.76
131328 174.62 -179.57
4104 438.08 -443.31
131328 165.99 -171.07
4104 438.77 -444.02
4104 440.03 -445.34
131328 193.11 -198.13
131328 167.9 -172.97
4104 439.16 -444.45
131328 167.18 -172.21
4104 439.67 -444.94
131328 180.15 -185.16
4104 437.11 -442.39
131328 162.58 -167.61
131328 181.74 -186.77
4104 437.86 -443.14
131328 179.59 -184.53
4104 438.08 -443.33
4104 437.8 -443.05
131328 181.77 -186.79
4104 435.95 -441.26
131328 176.51 -181.5
131328 173.62 -178.7
4104 439.01 -444.2
131328 184.05 -189.04
4104 439.67 -444.88
4104 440.61 -445.88
131328 189.71 -194.66
4104 437.55 -442.83
4104 440.75 -446.02
131328 170.7 -175.74
131328 175.99 -181.13
131328 167.45 -172.37
4104 439.86 -445.1
131328 188.85 -193.81
4104 436.56 -441.86
4104 441.02 -446.25
131328 162.67 -167.77
4104 439.03 -444.34
131328 192.34 -197.47
4104 441.49 -446.77
131328 176.02 -181.01
131328 151.2 -156.2
4104 438.18 -443.44
4104 439.95 -445.28
131328 159.31 -164.29
4104 437.93 -443.23
131328 184.06 -189.19
4104 436.32 -441.62
131328 182.38 -187.46
4104 439.24 -444.52
131328 194.63 -199.74
4104 444.0 -449.35
131328 194.81 -199.9
4104 439.99 -445.27
4104 433.73 -438.98
131328 145.04 -150.07
131328 181.66 -186.57
131328 203.99 -208.97
4104 437.69 -443.05
4104 433.97 -439.21
131328 180.31 -185.24
131328 155.11 -160.15
4104 438.57 -443.88
4104 439.08 -444.44
131328 175.95 -180.94
131328 159.87 -164.81
4104 437.06 -442.35
131328 166.53 -171.56
4104 436.28 -441.6
131328 168.88 -173.93
4104 437.59 -442.88
4104 441.94 -447.11
131328 166.3 -171.29
131328 157.83 -162.87
4104 434.83 -440.08
4104 441.84 -447.12
131328 181.69 -186.72
131328 167.32 -172.32
4104 440.2 -445.35
131328 155.57 -160.53
4104 437.21 -442.44
4104 438.9 -444.14
131328 210.68 -215.86
4104 436.76 -441.98
131328 159.83 -164.95
4104 440.47 -445.71
4104 438.78 -444.04
131328 157.56 -162.64
131328 189.48 -194.51
4104 439.88 -445.12
131328 174.49 -179.55
4104 440.08 -445.33
4104 437.8 -443.03
131328 173.96 -179.07
131328 177.15 -182.08
