frq I Q
4104.00 33920.00 -35261.00
131328.00 638.00 -1402.00
4104.00 34255.00 -35037.00
131328.00 629.00 -1389.00
4104.00 34171.00 -34955.00
131328.00 654.00 -1412.00
4104.00 34207.00 -35004.00
131328.00 612.00 -1380.00
4104.00 34154.00 -34975.00
131328.00 653.00 -1406.00
4104.00 34238.00 -35036.00
131328.00 600.00 -1352.00
4104.00 34245.00 -34978.00
131328.00 621.00 -1388.00
4104.00 34130.00 -34986.00
131328.00 614.00 -1374.00
4104.00 34246.00 -35022.00
131328.00 606.00 -1370.00
4104.00 34146.00 -35009.00
131328.00 619.00 -1373.00
4104.00 33947.00 -34698.00
131328.00 637.00 -1388.00
4104.00 34246.00 -35059.00
131328.00 617.00 -1382.00
4104.00 34205.00 -34934.00
131328.00 658.00 -1443.00
4104.00 34208.00 -34934.00
131328.00 617.00 -1391.00
4104.00 34251.00 -34951.00
131328.00 643.00 -1419.00
4104.00 34220.00 -35051.00
131328.00 660.00 -1413.00
4104.00 34199.00 -34937.00
131328.00 648.00 -1435.00
4104.00 34152.00 -34955.00
131328.00 642.00 -1407.00
4104.00 34223.00 -34950.00
131328.00 843.00 -1594.00
4104.00 34216.00 -35053.00
131328.00 904.00 -1682.00
4104.00 34245.00 -34977.00
131328.00 641.00 -1408.00
4104.00 34256.00 -34985.00
131328.00 648.00 -1424.00
4104.00 34186.00 -34999.00
131328.00 609.00 -1364.00
4104.00 34242.00 -34964.00
131328.00 625.00 -1404.00
4104.00 34248.00 -34961.00
131328.00 620.00 -1383.00
4104.00 34252.00 -34978.00
131328.00 624.00 -1401.00
4104.00 34241.00 -35048.00
131328.00 595.00 -1353.00
4104.00 34216.00 -34992.00
131328.00 640.00 -1419.00
4104.00 34135.00 -34970.00
131328.00 673.00 -1426.00
4104.00 33941.00 -34780.00
131328.00 600.00 -1369.00
4104.00 34258.00 -35009.00
131328.00 655.00 -1418.00
4104.00 34161.00 -34968.00
131328.00 651.00 -1423.00
4104.00 34226.00 -34966.00
131328.00 650.00 -1395.00
4104.00 34260.00 -35064.00
131328.00 753.00 -1520.00
4104.00 34176.00 -34931.00
131328.00 658.00 -1437.00
4104.00 34189.00 -34928.00
131328.00 638.00 -1398.00
4104.00 34227.00 -35079.00
131328.00 741.00 -1495.00
4104.00 34242.00 -35071.00
131328.00 606.00 -1377.00
4104.00 34175.00 -35003.00
131328.00 935.00 -1705.00
4104.00 34242.00 -34929.00
131328.00 630.00 -1396.00
4104.00 34252.00 -34977.00
131328.00 646.00 -1418.00
4104.00 34232.00 -35075.00
131328.00 601.00 -1374.00
4104.00 34122.00 -34965.00
131328.00 623.00 -1383.00
4104.00 34241.00 -34973.00
131328.00 625.00 -1400.00
4104.00 34248.00 -35035.00
131328.00 602.00 -1366.00
4104.00 34224.00 -34947.00
131328.00 643.00 -1408.00
4104.00 34198.00 -35007.00
131328.00 618.00 -1384.00
4104.00 34152.00 -34973.00
131328.00 634.00 -1404.00
4104.00 33781.00 -34637.00
131328.00 601.00 -1362.00
4104.00 34228.00 -35079.00
131328.00 592.00 -1349.00
4104.00 34167.00 -34973.00
131328.00 665.00 -1460.00
4104.00 34248.00 -34946.00
131328.00 658.00 -1413.00
4104.00 34228.00 -35072.00
131328.00 609.00 -1354.00
4104.00 34232.00 -34992.00
131328.00 617.00 -1381.00
4104.00 34188.00 -34946.00
131328.00 675.00 -1433.00
4104.00 34259.00 -35050.00
131328.00 618.00 -1378.00
4104.00 34254.00 -34977.00
131328.00 623.00 -1409.00
4104.00 34150.00 -34927.00
131328.00 906.00 -1672.00
4104.00 34219.00 -35078.00
131328.00 604.00 -1347.00
4104.00 34224.00 -35061.00
131328.00 625.00 -1383.00
4104.00 34258.00 -35030.00
131328.00 619.00 -1367.00
4104.00 34151.00 -34998.00
131328.00 636.00 -1396.00
4104.00 34248.00 -34944.00
131328.00 620.00 -1403.00
4104.00 34139.00 -34891.00
131328.00 630.00 -1381.00
4104.00 34162.00 -34957.00
131328.00 654.00 -1412.00
4104.00 34226.00 -34964.00
131328.00 602.00 -1374.00
4104.00 34119.00 -34971.00
131328.00 626.00 -1415.00
4104.00 33945.00 -34788.00
131328.00 605.00 -1362.00
4104.00 34232.00 -34970.00
131328.00 620.00 -1389.00
4104.00 34218.00 -34990.00
131328.00 600.00 -1369.00
4104.00 34233.00 -34995.00
131328.00 633.00 -1389.00
4104.00 34195.00 -34942.00
131328.00 673.00 -1430.00
