frq I Q
4104 440.32 4790.5
131328 -2701.48 6627.91
131328 1135.55 8283.23
4104 -3711.23 -562.81
4104 -7657.52 -960.09
131328 11802.44 3244.43
131328 -2032.73 3694.68
4104 -1956.59 953.46
131328 -3105.38 2502.85
4104 -5058.66 2420.08
4104 -4247.55 -979.95
131328 -2032.73 1046.16
4104 -3542.39 2383.66
131328 1466.61 4992.45
4104 -4999.07 2506.16
131328 -19.86 3535.77
4104 -784.62 -2582.3
131328 -4082.02 13166.42
131328 4101.89 4456.12
4104 -6909.31 612.47
131328 3151.73 10114.01
4104 -456.87 297.96
4104 -7359.56 -2575.68
131328 5141.43 6813.3
131328 2694.86 8693.75
4104 -847.52 -1314.32
131328 -2294.28 5320.2
4104 -1863.89 3744.34
131328 3386.79 6022.06
4104 -6114.76 1367.3
4104 -2122.12 -327.75
131328 3886.69 6737.16
4104 -1311.01 -2929.92
4104 -6316.71 384.03
131328 407.21 5787.0
131328 -1231.56 9100.96
4104 -7131.12 3.31
131328 6061.79 4528.96
131328 1847.34 2214.82
4104 -2400.22 -72.83
4104 -1688.43 2741.21
131328 -499.91 4446.19
4104 -158.91 -3164.97
4104 -2555.82 337.69
131328 -1595.73 5902.88
131328 -443.63 6224.01
4104 -6243.87 -4171.41
131328 4886.51 3701.3
4104 -5558.57 1926.79
4104 -2943.16 622.4
131328 268.16 2757.77
131328 -2853.77 1883.76
131328 4015.81 4608.41
4104 -1516.27 -1301.08
4104 -4148.23 6915.93
4104 -3737.72 33.11
131328 8329.58 7104.64
131328 4419.71 9438.64
131328 721.72 5664.51
4104 -3290.78 579.36
4104 -2956.4 -3287.47
131328 840.9 9382.36
4104 -5992.26 -2244.62
4104 -4747.46 3102.07
131328 -675.37 5604.92
131328 -1661.94 509.84
4104 -3370.23 536.32
131328 -3601.98 8422.27
4104 -4823.61 430.38
131328 1781.13 6720.6
4104 -1993.01 -2175.09
4104 -8177.29 390.66
131328 -897.18 6412.71
131328 4519.03 3813.86
131328 -1923.48 5502.29
4104 -2916.68 -1344.12
4104 -4231.0 -5386.41
131328 -360.86 731.65
131328 3638.4 1685.12
4104 -1466.61 1115.69
4104 -231.74 2665.07
131328 -1142.17 7008.63
131328 5545.33 -1678.5
4104 -1314.32 -3562.25
4104 4019.12 526.39
131328 2469.74 2059.22
131328 1704.98 3582.11
131328 -1416.95 288.03
4104 -3403.34 -870.7
131328 -470.11 4793.81
4104 -5743.96 -62.9
4104 -1685.12 -185.4
131328 1320.95 7061.6
4104 754.83 -3462.93
4104 -1248.11 3711.23
131328 -3486.11 3443.07
131328 -1191.83 3045.79
4104 -3330.51 3737.72
131328 5247.37 1155.41
131328 2436.63 -1771.19
4104 526.39 3337.13
131328 4234.31 3443.07
4104 -8809.62 4055.54
4104 -3658.26 2727.97
131328 -768.07 2214.82
4104 -3529.14 3217.94
131328 -953.46 3158.35
4104 -3542.39 -5253.99
131328 7750.21 357.55
131328 1708.29 9534.65
4104 -5869.77 -3588.74
4104 -9534.65 4499.16
131328 -2721.35 5657.89
4104 -2926.61 -324.44
131328 2800.8 10292.79
131328 -539.63 -1542.76
4104 -6184.28 -3618.53
131328 -1274.6 185.4
4104 3155.04 1284.53
131328 -2916.68 3022.62
4104 -1853.96 -1893.69
131328 4654.76 8025.0
4104 -7217.2 3764.2
4104 -7882.64 -2509.47
4104 -4528.96 1757.95
131328 950.15 2016.18
131328 3022.62 -1552.69
131328 19.86 2224.75
4104 -2314.14 1565.93
4104 -2873.64 -715.1
131328 2446.56 6631.22
4104 -314.51 -2128.74
131328 3873.45 5005.69
131328 5012.31 3880.07
4104 -4912.99 2290.96
4104 -3846.97 148.98
131328 5306.96 2095.64
4104 -2343.93 -350.93
131328 2214.82 7667.45
131328 3164.97 3178.22
4104 -1602.35 3767.51
4104 -930.29 -3019.31
131328 331.06 -1665.25
4104 -13.24 -291.34
131328 -6349.81 7786.63
131328 -718.41 3095.45
4104 -2410.15 480.04
4104 -2784.25 1231.56
131328 1291.15 6816.61
131328 2761.08 6581.56
4104 2410.15 301.27
4104 602.54 3181.53
131328 4297.21 8935.42
131328 -301.27 8488.49
131328 -4542.2 8240.19
4104 -5151.36 -360.86
