,I,Q
0,29.37593985759917,-41.08803673234119
1,29.607259694488462,-40.953203708069736
2,29.79098647669117,-40.798697855958146
3,29.756496062733863,-40.82417387019373
4,29.73278498629725,-40.862052137617056
5,29.739583994109616,-40.86486254159422
6,29.73842234250533,-40.84848924715023
7,29.74124102060937,-40.84170780191682
8,29.745221350317696,-40.85129965112739
9,29.748040028421737,-40.84451820589398
10,29.744059698713414,-40.8349263566834
11,29.74124102060937,-40.84170780191682
12,29.752020358130064,-40.854110055104556
13,29.75600068783839,-40.86370190431512
14,29.749201680026022,-40.860891500337964
15,29.73676531600557,-40.871643986827635
16,29.73676531600557,-40.871643986827635
17,29.75600068783839,-40.86370190431512
18,29.75881936594243,-40.856920459081714
19,29.749201680026022,-40.860891500337964
20,29.746383001921984,-40.86767294557138
21,29.749201680026022,-40.860891500337964
22,29.74124102060937,-40.84170780191682
23,29.733280361192723,-40.82252410349567
24,29.73046168308868,-40.82930554872908
25,29.73278498629725,-40.862052137617056
26,29.727147630089163,-40.875615028083885
27,29.742402672213657,-40.858081096360806
28,29.750858706525783,-40.83773676066056
29,29.744059698713414,-40.8349263566834
30,29.73842234250533,-40.84848924715023
31,29.722005648776555,-40.84964988442932
32,29.724824326880597,-40.84286843919591
33,29.731623334692962,-40.84567884317307
34,29.74124102060937,-40.84170780191682
35,29.750858706525783,-40.83773676066056
36,29.76047639244219,-40.83376571940431
37,29.754839036234102,-40.84732860987114
38,29.731623334692962,-40.84567884317307
39,29.727643004984635,-40.836086993962496
40,29.74124102060937,-40.84170780191682
41,29.749201680026022,-40.860891500337964
42,29.742402672213657,-40.858081096360806
43,29.74124102060937,-40.84170780191682
44,29.744059698713414,-40.8349263566834
45,29.734442012797004,-40.838897397939654
46,29.734442012797004,-40.838897397939654
47,29.740079369005088,-40.82533450747283
48,29.73609903929676,-40.81574265826225
49,29.73046168308868,-40.82930554872908
50,29.728804656588924,-40.852460288406476
51,29.725985978484882,-40.85924173363989
52,29.731623334692962,-40.84567884317307
53,29.73726069090105,-40.83211595270624
54,29.733280361192723,-40.82252410349567
55,29.723662675276316,-40.82649514475192
56,29.724824326880597,-40.84286843919591
57,29.73560366440129,-40.85527069238364
58,29.752020358130064,-40.854110055104556
59,29.745221350317696,-40.85129965112739
60,29.742402672213657,-40.858081096360806
61,29.749201680026022,-40.860891500337964
62,29.752020358130064,-40.854110055104556
63,29.742402672213657,-40.858081096360806
64,29.73278498629725,-40.862052137617056
65,29.722005648776555,-40.84964988442932
66,29.724824326880597,-40.84286843919591
67,29.750858706525783,-40.83773676066056
68,29.748040028421737,-40.84451820589398
69,29.73560366440129,-40.85527069238364
70,29.75600068783839,-40.86370190431512
71,29.765618373754798,-40.85973086305887
72,29.752020358130064,-40.854110055104556
73,29.74124102060937,-40.84170780191682
74,29.750858706525783,-40.83773676066056
75,29.75881936594243,-40.856920459081714
76,29.75318200973435,-40.870483349548536
77,29.743564323817935,-40.87445439080479
78,29.743564323817935,-40.87445439080479
79,29.739583994109616,-40.86486254159422
80,29.728804656588924,-40.852460288406476
81,29.722005648776555,-40.84964988442932
82,29.724824326880597,-40.84286843919591
83,29.734442012797004,-40.838897397939654
84,29.740079369005088,-40.82533450747283
85,29.752515733025536,-40.81458202098316
86,29.77689308617096,-40.83260508212522
87,29.765618373754798,-40.85973086305887
88,29.742402672213657,-40.858081096360806
89,29.73560366440129,-40.85527069238364
90,29.742402672213657,-40.858081096360806
91,29.742402672213657,-40.858081096360806
92,29.73560366440129,-40.85527069238364
93,29.73842234250533,-40.84848924715023
94,29.73046168308868,-40.82930554872908
95,29.723662675276316,-40.82649514475192
96,29.734442012797004,-40.838897397939654
97,29.74124102060937,-40.84170780191682
98,29.73726069090105,-40.83211595270624
99,29.726481353380354,-40.8197136995185
100,29.733280361192723,-40.82252410349567
101,29.75367738462982,-40.83095531542715
102,29.750858706525783,-40.83773676066056
103,29.722005648776555,-40.84964988442932
104,29.709569284756103,-40.86040237091899
105,29.731623334692962,-40.84567884317307
106,29.750858706525783,-40.83773676066056
107,29.745221350317696,-40.85129965112739
108,29.742402672213657,-40.858081096360806
109,29.768437051858836,-40.85294941782546
110,29.75600068783839,-40.86370190431512
111,29.73676531600557,-40.871643986827635
112,29.725985978484882,-40.85924173363989
113,29.72084399717227,-40.83327658998534
114,29.714044989359902,-40.830466186008174
115,29.723167300380837,-40.86602317887331
116,29.73676531600557,-40.871643986827635
117,29.73560366440129,-40.85527069238364
118,29.722005648776555,-40.84964988442932
119,29.731623334692962,-40.84567884317307
120,29.744059698713414,-40.8349263566834
121,29.757657714338148,-40.84054716463773
122,29.749201680026022,-40.860891500337964
123,29.743564323817935,-40.87445439080479
124,29.762799695650756,-40.86651230829228
125,29.775236059671204,-40.85575982180262
126,29.754839036234102,-40.84732860987114
127,29.727643004984635,-40.836086993962496
128,29.724824326880597,-40.84286843919591
129,29.731623334692962,-40.84567884317307
130,29.734442012797004,-40.838897397939654
131,29.73842234250533,-40.84848924715023
132,29.73278498629725,-40.862052137617056
133,29.73278498629725,-40.862052137617056
134,29.749201680026022,-40.860891500337964
135,29.748040028421737,-40.84451820589398
136,29.734442012797004,-40.838897397939654
137,29.728804656588924,-40.852460288406476
138,29.742402672213657,-40.858081096360806
139,29.752020358130064,-40.854110055104556
140,29.754839036234102,-40.84732860987114
141,29.734442012797004,-40.838897397939654
142,29.727643004984635,-40.836086993962496
143,29.728804656588924,-40.852460288406476
144,29.73842234250533,-40.84848924715023
145,29.750858706525783,-40.83773676066056
146,29.764456722150516,-40.843357568614884
147,29.764456722150516,-40.843357568614884
148,29.754839036234102,-40.84732860987114
149,29.752020358130064,-40.854110055104556
150,29.742402672213657,-40.858081096360806
151,29.723167300380837,-40.86602317887331
152,29.725985978484882,-40.85924173363989
153,29.745221350317696,-40.85129965112739
154,29.742402672213657,-40.858081096360806
155,29.73394663790153,-40.87842543206104
156,29.727147630089163,-40.875615028083885
157,29.73278498629725,-40.862052137617056
158,29.731623334692962,-40.84567884317307
159,29.74124102060937,-40.84170780191682
160,29.765618373754798,-40.85973086305887
