frq I Q Mdiv Ref dac Kdiv
131328.00 41794.00 -299305.00 1082130432 32768 128 1
4104.00 107342.00 55023.00 1082130432 32768 128 32
131328.00 45046.00 -296417.00 1082130432 32768 128 1
4104.00 103480.00 58193.00 1082130432 32768 128 32
131328.00 45080.00 -292812.00 1082130432 32768 128 1
4104.00 111986.00 57060.00 1082130432 32768 128 32
131328.00 46152.00 -300514.00 1082130432 32768 128 1
4104.00 113079.00 52958.00 1082130432 32768 128 32
131328.00 38451.00 -302082.00 1082130432 32768 128 1
4104.00 104618.00 44872.00 1082130432 32768 128 32
131328.00 45554.00 -285565.00 1082130432 32768 128 1
4104.00 102831.00 45683.00 1082130432 32768 128 32
131328.00 45908.00 -293766.00 1082130432 32768 128 1
4104.00 98503.00 41211.00 1082130432 32768 128 32
131328.00 40530.00 -300169.00 1082130432 32768 128 1
4104.00 108559.00 60073.00 1082130432 32768 128 32
131328.00 43601.00 -297976.00 1082130432 32768 128 1
4104.00 105279.00 49330.00 1082130432 32768 128 32
131328.00 41407.00 -304060.00 1082130432 32768 128 1
4104.00 104347.00 43307.00 1082130432 32768 128 32
131328.00 42155.00 -290980.00 1082130432 32768 128 1
4104.00 105491.00 50452.00 1082130432 32768 128 32
131328.00 43510.00 -294777.00 1082130432 32768 128 1
4104.00 102958.00 44719.00 1082130432 32768 128 32
131328.00 40951.00 -297119.00 1082130432 32768 128 1
4104.00 108560.00 58201.00 1082130432 32768 128 32
131328.00 45051.00 -297683.00 1082130432 32768 128 1
4104.00 102089.00 47726.00 1082130432 32768 128 32
131328.00 43546.00 -301255.00 1082130432 32768 128 1
4104.00 107196.00 39634.00 1082130432 32768 128 32
131328.00 45420.00 -292553.00 1082130432 32768 128 1
4104.00 102912.00 55782.00 1082130432 32768 128 32
131328.00 39591.00 -295020.00 1082130432 32768 128 1
4104.00 108985.00 51024.00 1082130432 32768 128 32
131328.00 42667.00 -294162.00 1082130432 32768 128 1
4104.00 101210.00 54080.00 1082130432 32768 128 32
131328.00 44351.00 -297824.00 1082130432 32768 128 1
4104.00 108754.00 38332.00 1082130432 32768 128 32
131328.00 43488.00 -297473.00 1082130432 32768 128 1
4104.00 108872.00 49572.00 1082130432 32768 128 32
131328.00 42059.00 -295198.00 1082130432 32768 128 1
4104.00 111878.00 52338.00 1082130432 32768 128 32
131328.00 46721.00 -293110.00 1082130432 32768 128 1
4104.00 100989.00 45505.00 1082130432 32768 128 32
131328.00 45259.00 -295776.00 1082130432 32768 128 1
4104.00 111115.00 35012.00 1082130432 32768 128 32
131328.00 40904.00 -304042.00 1082130432 32768 128 1
4104.00 105993.00 55365.00 1082130432 32768 128 32
131328.00 43300.00 -298916.00 1082130432 32768 128 1
4104.00 102270.00 47299.00 1082130432 32768 128 32
131328.00 43234.00 -293368.00 1082130432 32768 128 1
4104.00 107670.00 61301.00 1082130432 32768 128 32
131328.00 46919.00 -298592.00 1082130432 32768 128 1
4104.00 106555.00 49221.00 1082130432 32768 128 32
131328.00 38415.00 -298670.00 1082130432 32768 128 1
4104.00 107033.00 44700.00 1082130432 32768 128 32
131328.00 37479.00 -299573.00 1082130432 32768 128 1
4104.00 102860.00 50696.00 1082130432 32768 128 32
131328.00 41919.00 -289888.00 1082130432 32768 128 1
4104.00 106189.00 40857.00 1082130432 32768 128 32
131328.00 49644.00 -292861.00 1082130432 32768 128 1
4104.00 106137.00 45068.00 1082130432 32768 128 32
131328.00 44032.00 -292783.00 1082130432 32768 128 1
4104.00 110164.00 45483.00 1082130432 32768 128 32
131328.00 43262.00 -303540.00 1082130432 32768 128 1
4104.00 107302.00 56554.00 1082130432 32768 128 32
131328.00 44585.00 -293822.00 1082130432 32768 128 1
4104.00 99755.00 41463.00 1082130432 32768 128 32
131328.00 46397.00 -295590.00 1082130432 32768 128 1
4104.00 113452.00 47481.00 1082130432 32768 128 32
131328.00 40349.00 -299728.00 1082130432 32768 128 1
4104.00 109247.00 58456.00 1082130432 32768 128 32
131328.00 40136.00 -299456.00 1082130432 32768 128 1
4104.00 111733.00 59841.00 1082130432 32768 128 32
131328.00 42098.00 -298828.00 1082130432 32768 128 1
4104.00 106410.00 42651.00 1082130432 32768 128 32
131328.00 39201.00 -294175.00 1082130432 32768 128 1
4104.00 105198.00 57565.00 1082130432 32768 128 32
131328.00 40220.00 -291206.00 1082130432 32768 128 1
4104.00 100212.00 45247.00 1082130432 32768 128 32
