frq I Q
4104 38.85 -25.13
4104 38.75 -25.39
131328 23.94 -1.14
4104 38.79 -25.41
131328 23.91 -1.13
4104 38.81 -25.11
131328 23.96 -1.13
4104 38.85 -25.2
131328 23.93 -1.1
4104 38.88 -25.15
131328 23.92 -1.16
131328 23.96 -1.11
4104 38.79 -25.15
131328 23.97 -1.13
4104 38.83 -25.15
4104 38.75 -25.38
131328 23.92 -1.13
4104 38.87 -25.23
131328 23.88 -1.1
4104 38.77 -25.33
131328 23.89 -1.21
131328 23.82 -1.23
4104 38.86 -25.13
4104 38.85 -25.23
131328 23.83 -1.26
131328 23.88 -1.17
4104 38.85 -25.25
4104 38.81 -25.3
131328 23.95 -1.03
131328 23.9 -1.1
4104 38.88 -25.23
131328 23.9 -1.03
131328 23.8 -1.28
4104 38.9 -25.11
131328 23.89 -1.17
4104 38.87 -25.08
4104 38.77 -25.22
131328 23.9 -1.03
4104 38.85 -25.41
131328 24.0 -1.13
4104 38.83 -25.06
131328 23.9 -1.09
131328 23.87 -1.21
4104 38.91 -25.33
4104 38.81 -25.23
131328 23.96 -0.99
131328 23.86 -1.21
4104 38.8 -25.16
131328 23.85 -1.14
4104 38.84 -25.37
4104 38.91 -25.17
131328 23.9 -1.14
4104 38.78 -25.37
131328 23.9 -1.15
131328 23.96 -1.19
4104 38.81 -25.25
4104 38.85 -25.17
131328 24.03 -1.13
4104 38.93 -25.19
131328 24.07 -1.16
4104 38.89 -25.07
131328 23.91 -1.15
131328 23.92 -1.17
4104 38.87 -25.39
4104 38.89 -25.2
131328 23.86 -1.11
4104 38.82 -25.19
4104 38.81 -25.35
131328 23.86 -1.19
131328 23.88 -1.25
4104 38.88 -25.36
131328 23.89 -1.24
4104 38.85 -25.16
131328 23.99 -1.2
131328 23.83 -1.15
4104 38.94 -25.1
131328 23.94 -1.17
4104 38.81 -25.19
4104 38.75 -25.16
131328 23.88 -1.19
131328 23.82 -1.24
4104 38.85 -25.21
131328 23.93 -1.07
4104 38.9 -25.29
131328 23.92 -1.19
4104 38.89 -25.14
131328 23.88 -1.21
4104 38.77 -25.3
131328 23.94 -1.15
4104 38.71 -25.23
131328 24.0 -1.19
4104 38.85 -25.14
4104 38.93 -25.05
131328 24.04 -1.09
4104 38.94 -25.17
131328 23.9 -1.21
4104 38.71 -25.3
131328 23.88 -1.24
131328 23.88 -1.22
4104 38.91 -25.23
4104 38.75 -25.18
131328 23.87 -1.17
131328 23.93 -1.18
4104 38.86 -25.16
4104 38.89 -25.14
131328 23.9 -1.22
4104 38.94 -25.15
131328 23.91 -1.21
4104 38.71 -25.36
131328 23.88 -1.14
131328 23.92 -1.12
4104 38.79 -25.37
4104 38.87 -25.07
131328 23.83 -1.17
131328 23.94 -1.15
4104 38.85 -25.14
4104 38.91 -25.13
131328 23.87 -1.17
131328 23.88 -1.15
4104 38.91 -25.34
131328 23.84 -1.15
4104 38.73 -25.35
131328 23.94 -1.07
4104 38.83 -25.21
4104 38.85 -25.22
131328 23.94 -1.21
131328 23.85 -1.15
4104 38.92 -25.17
4104 38.77 -25.23
4104 38.87 -25.41
131328 23.84 -1.09
131328 23.94 -1.12
4104 38.76 -25.21
131328 24.04 -1.13
131328 23.94 -1.24
4104 38.69 -25.35
131328 23.9 -1.22
4104 38.85 -25.27
4104 38.8 -25.17
131328 23.91 -1.14
131328 23.92 -1.03
4104 38.89 -25.21
4104 38.91 -25.09
131328 23.77 -1.28
4104 38.99 -25.26
131328 24.0 -1.04
4104 38.8 -25.38
131328 23.9 -1.08
131328 23.93 -1.05
4104 38.85 -25.02
131328 24.02 -1.17
4104 38.84 -25.17
4104 38.89 -25.29
131328 24.02 -1.14
131328 24.0 -1.14
4104 38.65 -25.31
131328 23.91 -1.15
4104 38.75 -25.3
131328 23.93 -1.19
4104 38.87 -25.17
131328 23.86 -1.19
4104 38.83 -25.19
131328 23.94 -1.03
4104 38.77 -25.31
131328 24.0 -1.3
4104 38.97 -25.2
4104 38.85 -25.15
131328 23.98 -1.06
4104 38.85 -25.16
131328 24.08 -1.39
131328 23.98 -1.17
4104 38.9 -25.17
4104 38.8 -25.15
131328 23.89 -1.11
4104 38.83 -25.28
131328 23.91 -1.25
4104 38.89 -25.09
131328 23.76 -1.25
4104 38.91 -25.29
131328 23.86 -1.1
131328 23.77 -1.21
4104 38.81 -25.19
131328 24.0 -1.06
4104 38.92 -25.3
131328 23.98 -1.16
4104 38.84 -25.22
131328 24.03 -1.15
4104 38.81 -25.28
131328 23.95 -1.24
4104 38.92 -25.34
4104 38.79 -25.43
