T frq I Q
26163.0 4104 37.62 -26.27
26132.0 131328 19.2 -4.97
26226.0 4104 37.58 -26.19
26194.0 131328 19.13 -4.89
26288.0 4104 37.6 -26.36
26257.0 131328 19.17 -5.0
26350.0 4104 37.64 -26.31
26319.0 131328 19.17 -4.88
26413.0 4104 37.57 -26.21
26382.0 131328 19.32 -4.97
26475.0 4104 37.52 -26.32
26538.0 4104 37.54 -26.14
26444.0 131328 19.21 -4.95
26506.0 131328 19.18 -4.75
26600.0 4104 37.62 -26.25
26569.0 131328 19.23 -4.91
26662.0 4104 37.55 -26.32
26631.0 131328 19.15 -5.07
26725.0 4104 37.6 -26.31
26693.0 131328 19.22 -4.83
26787.0 4104 37.58 -26.22
26849.0 4104 37.58 -26.35
26756.0 131328 19.25 -4.9
26818.0 131328 19.34 -4.83
26881.0 131328 19.27 -4.93
26912.0 4104 37.51 -26.2
26974.0 4104 37.52 -26.15
27037.0 4104 37.68 -26.45
26943.0 131328 19.23 -4.89
27005.0 131328 19.25 -4.93
27099.0 4104 37.58 -26.2
27068.0 131328 19.23 -4.71
27161.0 4104 37.56 -26.29
27130.0 131328 19.25 -4.93
27192.0 131328 19.26 -4.77
27224.0 4104 37.49 -26.13
27286.0 4104 37.61 -26.35
27255.0 131328 19.24 -4.94
27411.0 4104 37.58 -26.31
27473.0 4104 37.56 -26.39
27442.0 131328 19.33 -4.89
27504.0 131328 19.19 -4.91
27692.0 131328 19.19 -4.91
27723.0 4104 37.64 -26.27
27785.0 4104 37.59 -26.31
27754.0 131328 19.25 -4.91
27847.0 4104 37.57 -26.25
27910.0 4104 37.52 -26.25
27816.0 131328 19.2 -4.95
27879.0 131328 19.2 -4.96
27972.0 4104 37.59 -26.34
27941.0 131328 19.14 -5.05
28003.0 131328 19.13 -4.94
28035.0 4104 37.5 -26.27
28097.0 4104 37.6 -26.23
28066.0 131328 19.21 -4.99
28159.0 4104 37.52 -26.36
28128.0 131328 19.24 -4.99
28191.0 131328 19.21 -5.01
28222.0 4104 37.56 -26.25
28253.0 131328 19.23 -4.85
28284.0 4104 37.5 -26.21
28315.0 131328 19.25 -4.9
28346.0 4104 37.72 -26.52
28378.0 131328 19.11 -5.02
28409.0 4104 37.58 -26.38
28471.0 4104 37.54 -26.15
28440.0 131328 19.19 -4.85
28502.0 131328 19.19 -4.95
28534.0 4104 37.52 -26.23
28596.0 4104 37.48 -26.31
28565.0 131328 19.14 -4.91
28658.0 4104 37.62 -26.22
28627.0 131328 19.23 -4.73
28690.0 131328 19.29 -4.73
28721.0 4104 37.62 -26.43
28783.0 4104 37.56 -26.27
28752.0 131328 19.21 -4.85
28814.0 131328 19.23 -4.8
28846.0 4104 37.55 -26.3
28908.0 4104 37.54 -26.24
28877.0 131328 19.16 -4.89
28970.0 4104 37.52 -26.37
28939.0 131328 19.21 -4.86
29001.0 131328 19.23 -4.85
29033.0 4104 37.5 -26.3
29064.0 131328 19.25 -4.84
29095.0 4104 37.64 -26.4
29126.0 131328 19.27 -4.81
29157.0 4104 37.62 -26.37
29189.0 131328 19.29 -4.93
29220.0 4104 37.6 -26.21
29251.0 131328 19.19 -4.89
29282.0 4104 37.64 -26.23
29313.0 131328 19.18 -4.93
29345.0 4104 37.6 -26.25
29376.0 131328 19.21 -4.89
29407.0 4104 37.56 -26.25
29438.0 131328 19.25 -4.76
29469.0 4104 37.6 -26.33
29532.0 4104 37.48 -26.16
29500.0 131328 19.31 -4.71
29563.0 131328 19.24 -4.72
29625.0 131328 19.29 -4.87
29656.0 4104 37.66 -26.35
