T frq I Q
6015.0 4104 37.42 -26.17
5922.0 131328 19.1 -4.96
5984.0 131328 19.2 -5.01
6046.0 131328 19.1 -4.96
6077.0 4104 37.62 -26.45
6109.0 131328 19.23 -4.89
6140.0 4104 37.5 -26.2
6171.0 131328 19.14 -4.91
6202.0 4104 37.52 -26.16
6265.0 4104 37.64 -26.33
6233.0 131328 19.21 -5.1
6327.0 4104 37.54 -26.19
6296.0 131328 19.15 -5.02
6358.0 131328 19.17 -4.92
6389.0 4104 37.57 -26.27
6421.0 131328 19.28 -4.78
6452.0 4104 37.62 -26.29
6483.0 131328 19.1 -5.03
6514.0 4104 37.57 -26.28
6545.0 131328 19.21 -4.86
6576.0 4104 37.56 -26.21
6608.0 131328 19.17 -5.01
6639.0 4104 37.56 -26.37
6701.0 4104 37.55 -26.3
6670.0 131328 19.23 -4.73
6764.0 4104 37.56 -26.19
6732.0 131328 19.06 -4.97
6795.0 131328 19.17 -4.93
6826.0 4104 37.6 -26.21
6857.0 131328 19.25 -4.96
6888.0 4104 37.63 -26.28
6951.0 4104 37.46 -26.16
6920.0 131328 19.5 -4.33
6982.0 131328 19.24 -4.91
7013.0 4104 37.65 -26.28
7076.0 4104 37.52 -26.21
7044.0 131328 19.23 -4.82
7107.0 131328 19.26 -4.91
7138.0 4104 37.5 -26.25
7200.0 4104 37.56 -26.25
7169.0 131328 19.21 -4.81
7263.0 4104 37.56 -26.14
7231.0 131328 19.18 -4.9
7294.0 131328 19.25 -4.92
7325.0 4104 37.56 -26.34
7387.0 4104 37.6 -26.25
7450.0 4104 37.59 -26.52
7356.0 131328 19.17 -4.91
7419.0 131328 19.25 -4.89
7512.0 4104 37.62 -26.25
7575.0 4104 37.61 -26.25
7481.0 131328 19.16 -4.91
7543.0 131328 19.22 -4.87
7606.0 131328 19.12 -5.01
7637.0 4104 37.52 -26.17
7668.0 131328 19.16 -4.92
7699.0 4104 37.6 -26.3
7762.0 4104 37.64 -26.37
7730.0 131328 19.12 -5.09
7824.0 4104 37.59 -26.29
7793.0 131328 19.2 -4.88
7855.0 131328 19.1 -5.0
7886.0 4104 37.58 -26.27
7918.0 131328 19.31 -4.81
7949.0 4104 37.45 -26.2
8011.0 4104 37.66 -26.43
7980.0 131328 19.16 -5.11
8074.0 4104 37.62 -26.39
8042.0 131328 19.15 -4.97
8105.0 131328 19.21 -4.89
8136.0 4104 37.63 -26.23
8167.0 131328 19.2 -5.04
8198.0 4104 37.6 -26.22
8261.0 4104 37.48 -26.21
8230.0 131328 19.31 -4.87
8323.0 4104 37.5 -26.23
8385.0 4104 37.55 -26.3
8292.0 131328 19.16 -4.93
8354.0 131328 19.34 -4.89
8510.0 4104 37.56 -26.25
8479.0 131328 19.11 -5.02
8541.0 131328 19.15 -4.93
8573.0 4104 37.55 -26.25
8604.0 131328 19.14 -4.88
8635.0 4104 37.59 -26.43
8697.0 4104 37.58 -26.28
8666.0 131328 19.17 -4.99
8729.0 131328 19.11 -5.01
8760.0 4104 37.51 -26.37
8791.0 131328 19.06 -5.09
8822.0 4104 37.58 -26.26
8884.0 4104 37.7 -26.41
8853.0 131328 19.08 -5.04
8916.0 131328 19.23 -4.91
8947.0 4104 37.6 -26.24
9009.0 4104 37.58 -26.26
8978.0 131328 19.18 -5.02
9072.0 4104 37.65 -26.39
9040.0 131328 19.07 -5.07
9134.0 4104 37.58 -26.23
9103.0 131328 19.1 -5.14
9165.0 131328 19.21 -4.77
9196.0 4104 37.64 -26.42
9259.0 4104 37.62 -26.43
9321.0 4104 37.64 -26.35
9228.0 131328 19.13 -4.9
9290.0 131328 19.15 -4.91
9384.0 4104 37.58 -26.24
9352.0 131328 19.14 -5.03
9446.0 4104 37.62 -26.27
9415.0 131328 19.16 -4.91
9508.0 4104 37.68 -26.23
9477.0 131328 19.09 -5.13
9539.0 131328 19.15 -4.8
9571.0 4104 37.58 -26.24
9602.0 131328 19.23 -5.07
9633.0 4104 37.53 -26.28
9695.0 4104 37.65 -26.46
9664.0 131328 19.18 -4.93
9758.0 4104 37.62 -26.28
9727.0 131328 19.14 -5.05
9820.0 4104 37.5 -26.19
9789.0 131328 19.22 -4.91
9851.0 131328 19.23 -4.92
9883.0 4104 37.51 -26.2
9914.0 131328 19.27 -4.9
9945.0 4104 37.53 -26.19
10007.0 4104 37.63 -26.38
9976.0 131328 19.16 -5.0
10070.0 4104 37.54 -26.19
10132.0 4104 37.42 -26.15
10038.0 131328 19.17 -4.91
10101.0 131328 19.23 -5.05
10194.0 4104 37.54 -26.11
10163.0 131328 19.23 -4.91
10226.0 131328 19.21 -4.85
10257.0 4104 37.64 -26.29
10319.0 4104 37.58 -26.27
10288.0 131328 19.17 -4.93
10350.0 131328 19.18 -4.79
10382.0 4104 37.53 -26.35
10413.0 131328 19.14 -5.03
10444.0 4104 37.56 -26.3
10475.0 131328 19.13 -4.91
10506.0 4104 37.6 -26.29
10569.0 4104 37.46 -26.15
10538.0 131328 19.1 -5.08
10600.0 131328 19.22 -5.07
10631.0 4104 37.64 -26.44
10693.0 4104 37.67 -26.33
10662.0 131328 19.16 -4.95
10756.0 4104 37.52 -26.33
10818.0 4104 37.6 -26.35
10725.0 131328 19.04 -5.05
10787.0 131328 19.18 -5.03
10881.0 4104 37.5 -26.2
10849.0 131328 19.16 -4.97
10943.0 4104 37.54 -26.28
10912.0 131328 19.31 -4.69
11005.0 4104 37.57 -26.25
10974.0 131328 19.27 -4.94
11037.0 131328 19.23 -4.91
11068.0 4104 37.5 -26.13
11130.0 4104 37.66 -26.37
11099.0 131328 19.25 -4.95
11161.0 131328 19.16 -4.9
11192.0 4104 37.5 -26.29
11224.0 131328 19.09 -5.05
11255.0 4104 37.66 -26.34
11286.0 131328 19.23 -4.85
11317.0 4104 37.62 -26.42
11348.0 131328 19.18 -4.94
11380.0 4104 37.66 -26.46
11411.0 131328 19.23 -4.87
11442.0 4104 37.54 -26.34
11504.0 4104 37.63 -26.22
11473.0 131328 19.27 -4.91
11536.0 131328 19.27 -4.86
11567.0 4104 37.46 -26.21
11598.0 131328 19.25 -4.98
11629.0 4104 37.58 -26.31
11692.0 4104 37.61 -26.3
11660.0 131328 19.29 -4.85
11723.0 131328 19.18 -5.07
11879.0 4104 37.52 -26.1
11941.0 4104 37.61 -26.43
