frq I Q
131328.00 441477.00 -524288.00
4104.00 509849.00 -88879.00
131328.00 441452.00 -524288.00
4104.00 510517.00 -84501.00
131328.00 450248.00 -524288.00
4104.00 510271.00 -80883.00
131328.00 464631.00 -524243.00
4104.00 510097.00 -84414.00
131328.00 447478.00 -523901.00
4104.00 510376.00 -83675.00
131328.00 439828.00 -524288.00
4104.00 510552.00 -84172.00
131328.00 447440.00 -524288.00
4104.00 510109.00 -83970.00
131328.00 466427.00 -524288.00
4104.00 509896.00 -84656.00
131328.00 446195.00 -524086.00
4104.00 509595.00 -88534.00
131328.00 472015.00 -524288.00
4104.00 509615.00 -85904.00
131328.00 467039.00 -524288.00
4104.00 509993.00 -85460.00
131328.00 452641.00 -523586.00
4104.00 510302.00 -84142.00
131328.00 448017.00 -524288.00
4104.00 510522.00 -84192.00
131328.00 461671.00 -524288.00
4104.00 510099.00 -84512.00
131328.00 460770.00 -523648.00
4104.00 509760.00 -82979.00
131328.00 446231.00 -524260.00
4104.00 510491.00 -84513.00
131328.00 458827.00 -524288.00
4104.00 510146.00 -83992.00
131328.00 444257.00 -520604.00
4104.00 510565.00 -84243.00
131328.00 442199.00 -524225.00
4104.00 510633.00 -81607.00
131328.00 440851.00 -524288.00
4104.00 510287.00 -84452.00
131328.00 475527.00 -524121.00
4104.00 509561.00 -82870.00
131328.00 462753.00 -523560.00
4104.00 510087.00 -84075.00
131328.00 468394.00 -524288.00
4104.00 509748.00 -84851.00
131328.00 467529.00 -523722.00
4104.00 509591.00 -85008.00
131328.00 446907.00 -524132.00
4104.00 510210.00 -85335.00
131328.00 443924.00 -520336.00
4104.00 510578.00 -84465.00
131328.00 468940.00 -524288.00
4104.00 509964.00 -84572.00
131328.00 444068.00 -523667.00
4104.00 510409.00 -84593.00
131328.00 461630.00 -523647.00
4104.00 510193.00 -85268.00
131328.00 459695.00 -523673.00
4104.00 510238.00 -84139.00
131328.00 460401.00 -524069.00
4104.00 510189.00 -83855.00
131328.00 449165.00 -523974.00
4104.00 510557.00 -83464.00
131328.00 449764.00 -524288.00
4104.00 510353.00 -84033.00
131328.00 454595.00 -524288.00
4104.00 509672.00 -83731.00
131328.00 475349.00 -524288.00
4104.00 509997.00 -83854.00
131328.00 449443.00 -524288.00
4104.00 510215.00 -80804.00
131328.00 461909.00 -524144.00
4104.00 509811.00 -85029.00
131328.00 442594.00 -523585.00
4104.00 510613.00 -84275.00
131328.00 462383.00 -524129.00
4104.00 510164.00 -83821.00
131328.00 454049.00 -524288.00
4104.00 510122.00 -84684.00
131328.00 456197.00 -523990.00
4104.00 510136.00 -84017.00
131328.00 464478.00 -524288.00
4104.00 509153.00 -90344.00
131328.00 441902.00 -523426.00
4104.00 510539.00 -85634.00
131328.00 444203.00 -523652.00
4104.00 510563.00 -84524.00
131328.00 462758.00 -524288.00
4104.00 509955.00 -85511.00
131328.00 452968.00 -523876.00
4104.00 510237.00 -78653.00
131328.00 447259.00 -524288.00
4104.00 510672.00 -84290.00
131328.00 456582.00 -524288.00
4104.00 510238.00 -83880.00
131328.00 442066.00 -524288.00
4104.00 510322.00 -83219.00
131328.00 444764.00 -524288.00
4104.00 510618.00 -84309.00
131328.00 446236.00 -518911.00
4104.00 510736.00 -83943.00
131328.00 468843.00 -523973.00
4104.00 509879.00 -84384.00
131328.00 442889.00 -524288.00
4104.00 510561.00 -84066.00
131328.00 473220.00 -523088.00
4104.00 509395.00 -84122.00
131328.00 455902.00 -524288.00
4104.00 510339.00 -83454.00
131328.00 473801.00 -524288.00
4104.00 509493.00 -82965.00
131328.00 460480.00 -523747.00
4104.00 510058.00 -84755.00
131328.00 451584.00 -523805.00
4104.00 510098.00 -84543.00
131328.00 441476.00 -519566.00
4104.00 510377.00 -80760.00
131328.00 453650.00 -524288.00
4104.00 510322.00 -83625.00
131328.00 463771.00 -524288.00
4104.00 510191.00 -84217.00
131328.00 451900.00 -524288.00
4104.00 510341.00 -84680.00
131328.00 455785.00 -524288.00
4104.00 509931.00 -89105.00
131328.00 446682.00 -524288.00
4104.00 510272.00 -84329.00
131328.00 443598.00 -524288.00
4104.00 510440.00 -84282.00
131328.00 457877.00 -524120.00
4104.00 510242.00 -85058.00
131328.00 461876.00 -520079.00
4104.00 509781.00 -84548.00
131328.00 441752.00 -523783.00
4104.00 510438.00 -83655.00
131328.00 462374.00 -524265.00
4104.00 510214.00 -83532.00
131328.00 457237.00 -524288.00
4104.00 510060.00 -83878.00
131328.00 455159.00 -522127.00
4104.00 510183.00 -84226.00
131328.00 452777.00 -524288.00
4104.00 510318.00 -84661.00
131328.00 451485.00 -524288.00
4104.00 510495.00 -84081.00
131328.00 447355.00 -523484.00
4104.00 510575.00 -83509.00
131328.00 460746.00 -520276.00
4104.00 510203.00 -83931.00
131328.00 443897.00 -524288.00
4104.00 510172.00 -82850.00
131328.00 447035.00 -523518.00
4104.00 510439.00 -83738.00
131328.00 445686.00 -524013.00
4104.00 510664.00 -83585.00
131328.00 458516.00 -523870.00
4104.00 510318.00 -94081.00
131328.00 445692.00 -524161.00
4104.00 510187.00 -84516.00
131328.00 462733.00 -523508.00
4104.00 510240.00 -84371.00
131328.00 442034.00 -524162.00
4104.00 510604.00 -89046.00
131328.00 449334.00 -520238.00
4104.00 510103.00 -83120.00
131328.00 453259.00 -523594.00
4104.00 510402.00 -80912.00
131328.00 445472.00 -523984.00
4104.00 510467.00 -84373.00
131328.00 460767.00 -524288.00
4104.00 510328.00 -83750.00
131328.00 443896.00 -524288.00
4104.00 510648.00 -84255.00
131328.00 445439.00 -523943.00
4104.00 510512.00 -84322.00
131328.00 451004.00 -524288.00
4104.00 510231.00 -88756.00
131328.00 448210.00 -524092.00
4104.00 510638.00 -83968.00
131328.00 443389.00 -520023.00
4104.00 510570.00 -83652.00
131328.00 458172.00 -524288.00
4104.00 509932.00 -84241.00
131328.00 452356.00 -524090.00
4104.00 510369.00 -79468.00
131328.00 463928.00 -523912.00
4104.00 510034.00 -84243.00
131328.00 443913.00 -524288.00
4104.00 510323.00 -84290.00
131328.00 442435.00 -523417.00
4104.00 510597.00 -84420.00
131328.00 469332.00 -523767.00
4104.00 509957.00 -83605.00
131328.00 444242.00 -524288.00
4104.00 510290.00 -85334.00
131328.00 465996.00 -520067.00
4104.00 509880.00 -84572.00
131328.00 448778.00 -523803.00
4104.00 510474.00 -84583.00
131328.00 459365.00 -524102.00
4104.00 510164.00 -85667.00
131328.00 468430.00 -524251.00
4104.00 509748.00 -86625.00
131328.00 451183.00 -523560.00
4104.00 510107.00 -84469.00
131328.00 454595.00 -523249.00
4104.00 510308.00 -83914.00
131328.00 451952.00 -524009.00
4104.00 510116.00 -84898.00
131328.00 450975.00 -523414.00
4104.00 510131.00 -84682.00
131328.00 454563.00 -519456.00
4104.00 510415.00 -84014.00
131328.00 447891.00 -524288.00
4104.00 510663.00 -84144.00
131328.00 468562.00 -524288.00
4104.00 509677.00 -84716.00
131328.00 471640.00 -523902.00
4104.00 509543.00 -83935.00
131328.00 450135.00 -524288.00
4104.00 510403.00 -83411.00
131328.00 451458.00 -523836.00
4104.00 509970.00 -84916.00
131328.00 449908.00 -523968.00
4104.00 510220.00 -84281.00
131328.00 443973.00 -524037.00
4104.00 510360.00 -84913.00
131328.00 469259.00 -523821.00
4104.00 508999.00 -90031.00
131328.00 474924.00 -524116.00
4104.00 509600.00 -84144.00
131328.00 459604.00 -524288.00
4104.00 509980.00 -84599.00
131328.00 465859.00 -524025.00
4104.00 509775.00 -84138.00
131328.00 460240.00 -524269.00
4104.00 510082.00 -84493.00
131328.00 446014.00 -524288.00
4104.00 510538.00 -84459.00
131328.00 450494.00 -524141.00
4104.00 510300.00 -78860.00
131328.00 449110.00 -524288.00
4104.00 510153.00 -84701.00
131328.00 445382.00 -524288.00
4104.00 509491.00 -90544.00
131328.00 447980.00 -524288.00
4104.00 510565.00 -84319.00
131328.00 448482.00 -523978.00
4104.00 510535.00 -84295.00
131328.00 464069.00 -524288.00
4104.00 510151.00 -94020.00
131328.00 452389.00 -524171.00
4104.00 510231.00 -85250.00
131328.00 476258.00 -523665.00
4104.00 509757.00 -84896.00
131328.00 462796.00 -523899.00
4104.00 510303.00 -80311.00
131328.00 444696.00 -524125.00
4104.00 510422.00 -94011.00
131328.00 474769.00 -524174.00
4104.00 508941.00 -89415.00
131328.00 450418.00 -522653.00
4104.00 510420.00 -83696.00
131328.00 447216.00 -524288.00
4104.00 510426.00 -84254.00
131328.00 448589.00 -524288.00
4104.00 509995.00 -84889.00
131328.00 443926.00 -523665.00
4104.00 510248.00 -84310.00
131328.00 475199.00 -524288.00
4104.00 509591.00 -94103.00
131328.00 449624.00 -523898.00
4104.00 510279.00 -86610.00
131328.00 442746.00 -523542.00
4104.00 510613.00 -94181.00
131328.00 446780.00 -524188.00
4104.00 509752.00 -90400.00
131328.00 462533.00 -523657.00
4104.00 510153.00 -84202.00
131328.00 458750.00 -524288.00
4104.00 510048.00 -83370.00
131328.00 458954.00 -524167.00
4104.00 509774.00 -85038.00
131328.00 463420.00 -523926.00
4104.00 510260.00 -84242.00
131328.00 447756.00 -524282.00
4104.00 510504.00 -84280.00
131328.00 464027.00 -524019.00
4104.00 509956.00 -83161.00
131328.00 456932.00 -523643.00
4104.00 510150.00 -84313.00
131328.00 475195.00 -524288.00
4104.00 508702.00 -90497.00
131328.00 460981.00 -523658.00
4104.00 510155.00 -84669.00
131328.00 475470.00 -524288.00
4104.00 509812.00 -83982.00
131328.00 455884.00 -524000.00
4104.00 510149.00 -83875.00
131328.00 469729.00 -524288.00
4104.00 510040.00 -84564.00
131328.00 452239.00 -523820.00
4104.00 510553.00 -84730.00
131328.00 455842.00 -524288.00
4104.00 510126.00 -84894.00
131328.00 444382.00 -523707.00
4104.00 510425.00 -84778.00
131328.00 459466.00 -523877.00
4104.00 509289.00 -89211.00
131328.00 443637.00 -523709.00
4104.00 510268.00 -84853.00
131328.00 451465.00 -524288.00
4104.00 510267.00 -84172.00
131328.00 473129.00 -524288.00
4104.00 509868.00 -84586.00
131328.00 460889.00 -524288.00
4104.00 509942.00 -84563.00
131328.00 476440.00 -524156.00
4104.00 509456.00 -84725.00
131328.00 472545.00 -523947.00
4104.00 509317.00 -84518.00
131328.00 458192.00 -524070.00
4104.00 510232.00 -86386.00
131328.00 457628.00 -523807.00
4104.00 509358.00 -92300.00
131328.00 475239.00 -523513.00
4104.00 509738.00 -84716.00
131328.00 443047.00 -523617.00
4104.00 510272.00 -83852.00
131328.00 454778.00 -523743.00
4104.00 510025.00 -78950.00
131328.00 448418.00 -524288.00
4104.00 510575.00 -80177.00
131328.00 474546.00 -523997.00
4104.00 509525.00 -84111.00
131328.00 453493.00 -524288.00
4104.00 510242.00 -84631.00
131328.00 447752.00 -524177.00
4104.00 510449.00 -85739.00
131328.00 475666.00 -524052.00
4104.00 508991.00 -89235.00
131328.00 472522.00 -523704.00
4104.00 509781.00 -86188.00
131328.00 444708.00 -523769.00
4104.00 510305.00 -84415.00
131328.00 445272.00 -524288.00
4104.00 510258.00 -84421.00
131328.00 460711.00 -524288.00
4104.00 509994.00 -84432.00
131328.00 447810.00 -524081.00
4104.00 510437.00 -82247.00
131328.00 458784.00 -524288.00
4104.00 509986.00 -84589.00
131328.00 458167.00 -524113.00
4104.00 510102.00 -84208.00
131328.00 442962.00 -524037.00
4104.00 509391.00 -91467.00
131328.00 449050.00 -523586.00
4104.00 510330.00 -84127.00
131328.00 451509.00 -524288.00
4104.00 510268.00 -84727.00
131328.00 465518.00 -523615.00
