I,Q
29.37593985759917,-41.08803673234119
29.607259694488462,-40.953203708069736
29.79098647669117,-40.798697855958146
29.756496062733863,-40.82417387019373
29.73278498629725,-40.862052137617056
29.739583994109616,-40.86486254159422
29.73842234250533,-40.84848924715023
29.74124102060937,-40.84170780191682
29.745221350317696,-40.85129965112739
29.748040028421737,-40.84451820589398
29.744059698713414,-40.8349263566834
29.74124102060937,-40.84170780191682
29.752020358130064,-40.85411005510456
29.75600068783839,-40.86370190431512
29.749201680026022,-40.86089150033797
29.73676531600557,-40.871643986827635
29.73676531600557,-40.871643986827635
29.75600068783839,-40.86370190431512
29.75881936594243,-40.856920459081714
29.749201680026022,-40.86089150033797
29.746383001921984,-40.86767294557138
29.749201680026022,-40.86089150033797
29.74124102060937,-40.84170780191682
29.733280361192723,-40.82252410349567
29.73046168308868,-40.82930554872908
29.73278498629725,-40.862052137617056
29.727147630089163,-40.875615028083885
29.742402672213657,-40.858081096360806
29.750858706525783,-40.83773676066056
29.744059698713414,-40.8349263566834
29.73842234250533,-40.84848924715023
29.722005648776555,-40.84964988442932
29.724824326880597,-40.84286843919591
29.73162333469296,-40.84567884317307
29.74124102060937,-40.84170780191682
29.750858706525783,-40.83773676066056
29.76047639244219,-40.83376571940431
29.754839036234102,-40.84732860987114
29.73162333469296,-40.84567884317307
29.727643004984635,-40.836086993962496
29.74124102060937,-40.84170780191682
29.749201680026022,-40.86089150033797
29.742402672213657,-40.858081096360806
29.74124102060937,-40.84170780191682
29.744059698713414,-40.8349263566834
29.734442012797004,-40.838897397939654
29.734442012797004,-40.838897397939654
29.740079369005088,-40.82533450747283
29.73609903929676,-40.81574265826225
29.73046168308868,-40.82930554872908
29.728804656588924,-40.85246028840648
29.72598597848488,-40.85924173363989
29.73162333469296,-40.84567884317307
29.73726069090105,-40.83211595270624
29.733280361192723,-40.82252410349567
29.723662675276316,-40.82649514475192
29.724824326880597,-40.84286843919591
29.73560366440129,-40.85527069238364
29.752020358130064,-40.85411005510456
29.745221350317696,-40.85129965112739
29.742402672213657,-40.858081096360806
29.749201680026022,-40.86089150033797
29.752020358130064,-40.85411005510456
29.742402672213657,-40.858081096360806
29.73278498629725,-40.862052137617056
29.722005648776555,-40.84964988442932
29.724824326880597,-40.84286843919591
29.750858706525783,-40.83773676066056
29.748040028421737,-40.84451820589398
29.73560366440129,-40.85527069238364
29.75600068783839,-40.86370190431512
29.7656183737548,-40.85973086305887
29.752020358130064,-40.85411005510456
29.74124102060937,-40.84170780191682
29.750858706525783,-40.83773676066056
29.75881936594243,-40.856920459081714
29.75318200973435,-40.870483349548536
29.743564323817935,-40.87445439080479
29.743564323817935,-40.87445439080479
29.739583994109616,-40.86486254159422
29.728804656588924,-40.85246028840648
29.722005648776555,-40.84964988442932
29.724824326880597,-40.84286843919591
29.734442012797004,-40.838897397939654
29.740079369005088,-40.82533450747283
29.752515733025536,-40.81458202098316
29.77689308617096,-40.83260508212522
29.7656183737548,-40.85973086305887
29.742402672213657,-40.858081096360806
29.73560366440129,-40.85527069238364
29.742402672213657,-40.858081096360806
29.742402672213657,-40.858081096360806
29.73560366440129,-40.85527069238364
29.73842234250533,-40.84848924715023
29.73046168308868,-40.82930554872908
29.723662675276316,-40.82649514475192
29.734442012797004,-40.838897397939654
29.74124102060937,-40.84170780191682
29.73726069090105,-40.83211595270624
29.72648135338035,-40.8197136995185
29.733280361192723,-40.82252410349567
29.75367738462982,-40.83095531542715
29.750858706525783,-40.83773676066056
29.722005648776555,-40.84964988442932
29.709569284756103,-40.86040237091899
29.73162333469296,-40.84567884317307
29.750858706525783,-40.83773676066056
29.745221350317696,-40.85129965112739
29.742402672213657,-40.858081096360806
29.768437051858836,-40.85294941782546
29.75600068783839,-40.86370190431512
29.73676531600557,-40.871643986827635
29.72598597848488,-40.85924173363989
29.72084399717227,-40.83327658998534
29.714044989359905,-40.830466186008174
29.723167300380837,-40.86602317887331
29.73676531600557,-40.871643986827635
29.73560366440129,-40.85527069238364
29.722005648776555,-40.84964988442932
29.73162333469296,-40.84567884317307
29.744059698713414,-40.8349263566834
29.757657714338148,-40.84054716463773
29.749201680026022,-40.86089150033797
29.743564323817935,-40.87445439080479
29.762799695650756,-40.86651230829228
29.775236059671204,-40.85575982180262
29.754839036234102,-40.84732860987114
29.727643004984635,-40.836086993962496
29.724824326880597,-40.84286843919591
29.73162333469296,-40.84567884317307
29.734442012797004,-40.838897397939654
29.73842234250533,-40.84848924715023
29.73278498629725,-40.862052137617056
29.73278498629725,-40.862052137617056
29.749201680026022,-40.86089150033797
29.748040028421737,-40.84451820589398
29.734442012797004,-40.838897397939654
29.728804656588924,-40.85246028840648
29.742402672213657,-40.858081096360806
29.752020358130064,-40.85411005510456
29.754839036234102,-40.84732860987114
29.734442012797004,-40.838897397939654
29.727643004984635,-40.836086993962496
29.728804656588924,-40.85246028840648
29.73842234250533,-40.84848924715023
29.750858706525783,-40.83773676066056
29.764456722150516,-40.84335756861488
29.764456722150516,-40.84335756861488
29.754839036234102,-40.84732860987114
29.752020358130064,-40.85411005510456
29.742402672213657,-40.858081096360806
29.723167300380837,-40.86602317887331
29.72598597848488,-40.85924173363989
29.745221350317696,-40.85129965112739
29.742402672213657,-40.858081096360806
29.73394663790153,-40.87842543206104
29.727147630089163,-40.875615028083885
29.73278498629725,-40.862052137617056
29.73162333469296,-40.84567884317307
29.74124102060937,-40.84170780191682
29.7656183737548,-40.85973086305887
29.772417381567163,-40.86254126703603
29.744059698713414,-40.8349263566834
29.72084399717227,-40.83327658998534
29.71802531906823,-40.84005803521875
29.73560366440129,-40.85527069238364
29.746383001921984,-40.86767294557138
29.723167300380837,-40.86602317887331
29.71636829256847,-40.86321277489615
29.742402672213657,-40.858081096360806
29.754839036234102,-40.84732860987114
29.73842234250533,-40.84848924715023
29.728804656588924,-40.85246028840648
29.745221350317696,-40.85129965112739
29.745221350317696,-40.85129965112739
29.73560366440129,-40.85527069238364
29.728804656588924,-40.85246028840648
29.73842234250533,-40.84848924715023
29.757657714338148,-40.84054716463773
29.77125572996288,-40.84616797259204
29.7656183737548,-40.85973086305887
29.739583994109616,-40.86486254159422
29.72598597848488,-40.85924173363989
29.749201680026022,-40.86089150033797
29.7656183737548,-40.85973086305887
29.7656183737548,-40.85973086305887
29.745221350317696,-40.85129965112739
29.722005648776555,-40.84964988442932
29.719186970672517,-40.85643132966273
29.7299663081932,-40.86883358285048
29.746383001921984,-40.86767294557138
29.749201680026022,-40.86089150033797
29.74124102060937,-40.84170780191682
29.724824326880597,-40.84286843919591
29.719186970672517,-40.85643132966273
29.7299663081932,-40.86883358285048
29.739583994109616,-40.86486254159422
29.73560366440129,-40.85527069238364
29.728804656588924,-40.85246028840648
29.74124102060937,-40.84170780191682
29.757657714338148,-40.84054716463773
29.752020358130064,-40.85411005510456
29.73278498629725,-40.862052137617056
29.72598597848488,-40.85924173363989
29.73842234250533,-40.84848924715023
29.745221350317696,-40.85129965112739
29.750858706525783,-40.83773676066056
29.746878376817456,-40.82814491144999
29.744059698713414,-40.8349263566834
29.73560366440129,-40.85527069238364
29.746383001921984,-40.86767294557138
29.75318200973435,-40.870483349548536
29.745221350317696,-40.85129965112739
29.740079369005088,-40.82533450747283
29.723662675276316,-40.82649514475192
29.714044989359905,-40.830466186008174
29.734442012797004,-40.838897397939654
29.75881936594243,-40.856920459081714
29.75881936594243,-40.856920459081714
29.73726069090105,-40.83211595270624
29.73609903929676,-40.81574265826225
29.740079369005088,-40.82533450747283
29.734442012797004,-40.838897397939654
29.74124102060937,-40.84170780191682
29.74124102060937,-40.84170780191682
29.73842234250533,-40.84848924715023
29.752020358130064,-40.85411005510456
29.742402672213657,-40.858081096360806
29.72598597848488,-40.85924173363989
29.722005648776555,-40.84964988442932
29.734442012797004,-40.838897397939654
29.744059698713414,-40.8349263566834
29.74124102060937,-40.84170780191682
29.728804656588924,-40.85246028840648
29.71636829256847,-40.86321277489615
29.7299663081932,-40.86883358285048
29.747544653526266,-40.88404624001536
29.750363331630304,-40.87726479478195
29.742402672213657,-40.858081096360806
29.73278498629725,-40.862052137617056
29.743564323817935,-40.87445439080479
29.75600068783839,-40.86370190431512
29.754839036234102,-40.84732860987114
29.745221350317696,-40.85129965112739
29.73278498629725,-40.862052137617056
29.728804656588924,-40.85246028840648
29.72598597848488,-40.85924173363989
29.720348622276795,-40.87280462410672
29.71354961446443,-40.86999422012955
29.742402672213657,-40.858081096360806
29.772417381567163,-40.86254126703603
29.779216389379535,-40.8653516710132
29.75881936594243,-40.856920459081714
29.752020358130064,-40.85411005510456
29.749201680026022,-40.86089150033797
29.739583994109616,-40.86486254159422
29.739583994109616,-40.86486254159422
29.746383001921984,-40.86767294557138
29.746383001921984,-40.86767294557138
29.73162333469296,-40.84567884317307
29.74289804710913,-40.81855306223942
29.768932426754308,-40.81342138370407
29.77689308617096,-40.83260508212522
29.782035067483577,-40.858570225779786
29.773579033171455,-40.87891456148002
29.763961347255037,-40.88288560273628
29.750363331630304,-40.87726479478195
29.750363331630304,-40.87726479478195
29.746383001921984,-40.86767294557138
29.73278498629725,-40.862052137617056
29.73560366440129,-40.85527069238364
29.75318200973435,-40.870483349548536
29.763961347255037,-40.88288560273628
29.75318200973435,-40.870483349548536
29.73560366440129,-40.85527069238364
29.728804656588924,-40.85246028840648
29.72598597848488,-40.85924173363989
29.7299663081932,-40.86883358285048
29.723167300380837,-40.86602317887331
29.73162333469296,-40.84567884317307
29.75367738462982,-40.83095531542715
29.757657714338148,-40.84054716463773
29.750858706525783,-40.83773676066056
29.75367738462982,-40.83095531542715
29.754839036234102,-40.84732860987114
29.75600068783839,-40.86370190431512
29.7656183737548,-40.85973086305887
29.76163804404647,-40.8501390138483
29.752020358130064,-40.85411005510456
29.742402672213657,-40.858081096360806
29.742402672213657,-40.858081096360806
29.752020358130064,-40.85411005510456
29.764456722150516,-40.84335756861488
29.76163804404647,-40.8501390138483
29.752020358130064,-40.85411005510456
29.745221350317696,-40.85129965112739
29.73560366440129,-40.85527069238364
29.749201680026022,-40.86089150033797
29.750363331630304,-40.87726479478195
29.740745645713897,-40.8812358360382
29.73676531600557,-40.871643986827635
29.742402672213657,-40.858081096360806
29.73560366440129,-40.85527069238364
29.728804656588924,-40.85246028840648
29.73560366440129,-40.85527069238364
29.73560366440129,-40.85527069238364
29.73560366440129,-40.85527069238364
29.739583994109616,-40.86486254159422
29.743564323817935,-40.87445439080479
29.749201680026022,-40.86089150033797
29.764456722150516,-40.84335756861488
29.764456722150516,-40.84335756861488
29.752020358130064,-40.85411005510456
29.746383001921984,-40.86767294557138
29.743564323817935,-40.87445439080479
29.75998101754672,-40.873293753525694
29.762799695650756,-40.86651230829228
29.75600068783839,-40.86370190431512
29.748040028421737,-40.84451820589398
29.746878376817456,-40.82814491144999
29.750858706525783,-40.83773676066056
29.7656183737548,-40.85973086305887
29.775236059671204,-40.85575982180262
29.76163804404647,-40.8501390138483
29.748040028421737,-40.84451820589398
29.754839036234102,-40.84732860987114
29.748040028421737,-40.84451820589398
29.734442012797004,-40.838897397939654
29.722005648776555,-40.84964988442932
29.72598597848488,-40.85924173363989
29.73560366440129,-40.85527069238364
29.748040028421737,-40.84451820589398
29.748040028421737,-40.84451820589398
29.73842234250533,-40.84848924715023
29.739583994109616,-40.86486254159422
29.75716233944267,-40.88007519875912
29.762799695650756,-40.86651230829228
29.750858706525783,-40.83773676066056
29.73726069090105,-40.83211595270624
29.74124102060937,-40.84170780191682
29.75600068783839,-40.86370190431512
29.75998101754672,-40.873293753525694
29.750363331630304,-40.87726479478195
29.73676531600557,-40.871643986827635
29.73278498629725,-40.862052137617056
29.73842234250533,-40.84848924715023
29.74124102060937,-40.84170780191682
29.745221350317696,-40.85129965112739
