frq I Q Mdiv Ref dac Kdiv
131328.00 289.00 -17150.00 1082130432 32768 128 1
4104.00 7479.00 4944.00 1082130432 32768 128 32
131328.00 -336.00 -16173.00 1082130432 32768 128 1
4104.00 6234.00 4710.00 1082130432 32768 128 32
131328.00 -887.00 -17460.00 1082130432 32768 128 1
4104.00 2971.00 7419.00 1082130432 32768 128 32
131328.00 -733.00 -16023.00 1082130432 32768 128 1
4104.00 6002.00 5823.00 1082130432 32768 128 32
131328.00 -947.00 -16452.00 1082130432 32768 128 1
4104.00 7588.00 7507.00 1082130432 32768 128 32
131328.00 -1137.00 -17392.00 1082130432 32768 128 1
4104.00 5226.00 4243.00 1082130432 32768 128 32
131328.00 -1047.00 -16598.00 1082130432 32768 128 1
4104.00 6600.00 5254.00 1082130432 32768 128 32
131328.00 -505.00 -17940.00 1082130432 32768 128 1
4104.00 4815.00 4017.00 1082130432 32768 128 32
131328.00 -1220.00 -16111.00 1082130432 32768 128 1
4104.00 6138.00 6645.00 1082130432 32768 128 32
131328.00 -720.00 -18184.00 1082130432 32768 128 1
4104.00 6056.00 4386.00 1082130432 32768 128 32
131328.00 -503.00 -16812.00 1082130432 32768 128 1
4104.00 6533.00 5604.00 1082130432 32768 128 32
131328.00 -551.00 -17557.00 1082130432 32768 128 1
4104.00 4486.00 8776.00 1082130432 32768 128 32
131328.00 1067.00 -16622.00 1082130432 32768 128 1
4104.00 5730.00 3826.00 1082130432 32768 128 32
131328.00 -1395.00 -16992.00 1082130432 32768 128 1
4104.00 5695.00 4218.00 1082130432 32768 128 32
131328.00 -971.00 -17214.00 1082130432 32768 128 1
4104.00 5455.00 4070.00 1082130432 32768 128 32
131328.00 -970.00 -17521.00 1082130432 32768 128 1
4104.00 8071.00 7083.00 1082130432 32768 128 32
131328.00 -1229.00 -16739.00 1082130432 32768 128 1
4104.00 6143.00 5126.00 1082130432 32768 128 32
131328.00 -762.00 -16446.00 1082130432 32768 128 1
4104.00 4735.00 4171.00 1082130432 32768 128 32
131328.00 -1205.00 -16597.00 1082130432 32768 128 1
4104.00 4677.00 7161.00 1082130432 32768 128 32
131328.00 -127.00 -16618.00 1082130432 32768 128 1
4104.00 6052.00 6061.00 1082130432 32768 128 32
131328.00 -154.00 -16874.00 1082130432 32768 128 1
4104.00 7295.00 5018.00 1082130432 32768 128 32
131328.00 336.00 -17720.00 1082130432 32768 128 1
4104.00 6509.00 6058.00 1082130432 32768 128 32
131328.00 -1187.00 -16083.00 1082130432 32768 128 1
4104.00 7487.00 5358.00 1082130432 32768 128 32
131328.00 -1174.00 -16246.00 1082130432 32768 128 1
4104.00 7630.00 7953.00 1082130432 32768 128 32
131328.00 -424.00 -17941.00 1082130432 32768 128 1
4104.00 6716.00 5559.00 1082130432 32768 128 32
131328.00 -517.00 -16144.00 1082130432 32768 128 1
4104.00 5973.00 4557.00 1082130432 32768 128 32
131328.00 -779.00 -17890.00 1082130432 32768 128 1
4104.00 6629.00 8062.00 1082130432 32768 128 32
131328.00 833.00 -17703.00 1082130432 32768 128 1
4104.00 7343.00 8320.00 1082130432 32768 128 32
131328.00 -643.00 -17860.00 1082130432 32768 128 1
4104.00 6759.00 7892.00 1082130432 32768 128 32
131328.00 -478.00 -16912.00 1082130432 32768 128 1
4104.00 5963.00 8064.00 1082130432 32768 128 32
131328.00 146.00 -17273.00 1082130432 32768 128 1
4104.00 5542.00 7862.00 1082130432 32768 128 32
131328.00 -322.00 -16624.00 1082130432 32768 128 1
4104.00 7541.00 7086.00 1082130432 32768 128 32
131328.00 -1057.00 -17595.00 1082130432 32768 128 1
4104.00 5199.00 4199.00 1082130432 32768 128 32
131328.00 -319.00 -17369.00 1082130432 32768 128 1
4104.00 7050.00 7451.00 1082130432 32768 128 32
131328.00 -1014.00 -17420.00 1082130432 32768 128 1
4104.00 5596.00 8862.00 1082130432 32768 128 32
131328.00 1087.00 -17586.00 1082130432 32768 128 1
4104.00 7478.00 5475.00 1082130432 32768 128 32
131328.00 -233.00 -16626.00 1082130432 32768 128 1
4104.00 5243.00 5874.00 1082130432 32768 128 32
131328.00 -755.00 -16425.00 1082130432 32768 128 1
4104.00 6786.00 5637.00 1082130432 32768 128 32
131328.00 -1162.00 -15917.00 1082130432 32768 128 1
4104.00 6136.00 4586.00 1082130432 32768 128 32
131328.00 334.00 -17064.00 1082130432 32768 128 1
4104.00 7211.00 7495.00 1082130432 32768 128 32
131328.00 746.00 -17557.00 1082130432 32768 128 1
4104.00 6049.00 4888.00 1082130432 32768 128 32
131328.00 -1099.00 -17265.00 1082130432 32768 128 1
4104.00 6200.00 5499.00 1082130432 32768 128 32
131328.00 40.00 -16318.00 1082130432 32768 128 1
4104.00 7508.00 6784.00 1082130432 32768 128 32
131328.00 -894.00 -17108.00 1082130432 32768 128 1
4104.00 6324.00 4308.00 1082130432 32768 128 32
131328.00 -425.00 -17883.00 1082130432 32768 128 1
4104.00 7460.00 5694.00 1082130432 32768 128 32
131328.00 -831.00 -15858.00 1082130432 32768 128 1
4104.00 7089.00 5757.00 1082130432 32768 128 32
131328.00 -1155.00 -16561.00 1082130432 32768 128 1
4104.00 4313.00 6357.00 1082130432 32768 128 32
131328.00 -536.00 -16611.00 1082130432 32768 128 1
4104.00 2954.00 7514.00 1082130432 32768 128 32
131328.00 -294.00 -15375.00 1082130432 32768 128 1
4104.00 6499.00 4132.00 1082130432 32768 128 32
131328.00 817.00 -18391.00 1082130432 32768 128 1
4104.00 4484.00 5207.00 1082130432 32768 128 32
131328.00 -860.00 -16664.00 1082130432 32768 128 1
4104.00 7189.00 5310.00 1082130432 32768 128 32
131328.00 -324.00 -16792.00 1082130432 32768 128 1
4104.00 6745.00 5181.00 1082130432 32768 128 32
131328.00 245.00 -17201.00 1082130432 32768 128 1
4104.00 5781.00 4806.00 1082130432 32768 128 32
131328.00 -573.00 -17635.00 1082130432 32768 128 1
4104.00 6254.00 4175.00 1082130432 32768 128 32
131328.00 -451.00 -17553.00 1082130432 32768 128 1
4104.00 7003.00 5401.00 1082130432 32768 128 32
131328.00 378.00 -17060.00 1082130432 32768 128 1
4104.00 6007.00 6315.00 1082130432 32768 128 32
131328.00 35.00 -16701.00 1082130432 32768 128 1
4104.00 6828.00 5937.00 1082130432 32768 128 32
131328.00 361.00 -16862.00 1082130432 32768 128 1
4104.00 6366.00 5268.00 1082130432 32768 128 32
131328.00 -1094.00 -16180.00 1082130432 32768 128 1
4104.00 5017.00 6878.00 1082130432 32768 128 32
131328.00 -381.00 -16931.00 1082130432 32768 128 1
4104.00 4774.00 7470.00 1082130432 32768 128 32
131328.00 -51.00 -16807.00 1082130432 32768 128 1
4104.00 6561.00 5100.00 1082130432 32768 128 32
131328.00 145.00 -17795.00 1082130432 32768 128 1
4104.00 5366.00 4188.00 1082130432 32768 128 32
131328.00 -1411.00 -16550.00 1082130432 32768 128 1
4104.00 6412.00 7353.00 1082130432 32768 128 32
131328.00 558.00 -17454.00 1082130432 32768 128 1
4104.00 6714.00 7492.00 1082130432 32768 128 32
131328.00 -480.00 -17696.00 1082130432 32768 128 1
4104.00 7301.00 6526.00 1082130432 32768 128 32
131328.00 520.00 -17814.00 1082130432 32768 128 1
4104.00 7529.00 8092.00 1082130432 32768 128 32
131328.00 -691.00 -17370.00 1082130432 32768 128 1
4104.00 6921.00 5626.00 1082130432 32768 128 32
131328.00 859.00 -16786.00 1082130432 32768 128 1
4104.00 5745.00 8184.00 1082130432 32768 128 32
131328.00 375.00 -16990.00 1082130432 32768 128 1
4104.00 7290.00 6107.00 1082130432 32768 128 32
131328.00 -424.00 -15859.00 1082130432 32768 128 1
4104.00 6861.00 8075.00 1082130432 32768 128 32
131328.00 -89.00 -17703.00 1082130432 32768 128 1
4104.00 4707.00 7703.00 1082130432 32768 128 32
131328.00 -218.00 -16281.00 1082130432 32768 128 1
4104.00 6731.00 5573.00 1082130432 32768 128 32
131328.00 -298.00 -16898.00 1082130432 32768 128 1
4104.00 7107.00 5227.00 1082130432 32768 128 32
131328.00 103.00 -16412.00 1082130432 32768 128 1
4104.00 6802.00 5321.00 1082130432 32768 128 32
131328.00 -576.00 -17775.00 1082130432 32768 128 1
4104.00 6912.00 5047.00 1082130432 32768 128 32
131328.00 708.00 -17798.00 1082130432 32768 128 1
4104.00 6914.00 6092.00 1082130432 32768 128 32
131328.00 -835.00 -16193.00 1082130432 32768 128 1
4104.00 5190.00 8253.00 1082130432 32768 128 32
131328.00 681.00 -17297.00 1082130432 32768 128 1
4104.00 6748.00 6337.00 1082130432 32768 128 32
131328.00 -1066.00 -16734.00 1082130432 32768 128 1
4104.00 7427.00 5701.00 1082130432 32768 128 32
131328.00 -1264.00 -16111.00 1082130432 32768 128 1
4104.00 5513.00 6882.00 1082130432 32768 128 32
131328.00 -819.00 -16382.00 1082130432 32768 128 1
4104.00 6373.00 5696.00 1082130432 32768 128 32
131328.00 -29.00 -16166.00 1082130432 32768 128 1
4104.00 7920.00 7339.00 1082130432 32768 128 32
131328.00 -1164.00 -16824.00 1082130432 32768 128 1
