frq,I,Q,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328,23.6,-1.15,-559.8217826086957,-4971.258978260869,74.5765414037381,-252.47073792612917,263.2548841649622,-73.54355138941392
131328,23.61,-1.01,-559.8117826086957,-4971.11897826087,74.57397769719287,-252.46482117552068,263.2484835298564,-73.54372171065052
131328,23.71,-1.06,-559.7117826086957,-4971.16897826087,74.58321926292494,-252.44549835912494,263.2325706241697,-73.54060112410963
131328,23.69,-1.11,-559.7317826086957,-4971.218978260869,74.5828142034827,-252.4510116681843,263.2377432413539,-73.54102568294982
131328,23.68,-1.11,-559.7417826086958,-4971.218978260869,74.5820103180515,-252.45308134530558,263.23950034867755,-73.5413211175357
131328,23.62,-1.02,-559.8017826086957,-4971.12897826087,74.5750221249081,-252.4630262893628,263.247058042657,-73.54339303579854
131328,23.68,-1.01,-559.7417826086958,-4971.11897826087,74.5796048952112,-252.45033343567187,263.23618352746973,-73.54165376846558
131328,23.59,-1.07,-559.8317826086957,-4971.178978260869,74.57381318003468,-252.47060927554344,263.25398792834045,-73.54411291610835
131328,23.57,-1.21,-559.8517826086957,-4971.31897826087,74.57557300114874,-252.4785957032732,263.26214573452546,-73.54423797862582
131328,23.55,-1.24,-559.8717826086958,-4971.348978260869,74.57468685713845,-252.48355943040588,263.2666551283842,-73.54472894921918
131328,23.57,-1.26,-559.8517826086957,-4971.36897826087,74.57677571256889,-252.47996965809006,263.2638041095526,-73.54407165223672
131328,23.6,-1.25,-559.8217826086957,-4971.35897826087,74.57894682657842,-252.47348583576292,263.2582009355507,-73.54321873820584
131328,23.62,-1.18,-559.8017826086957,-4971.28897826087,74.5788708014526,-252.46742294477679,263.25236488661704,-73.5428607852585
131328,23.64,-1.1,-559.7817826086957,-4971.20897826087,74.57855423404273,-252.46108526282728,263.2461971685908,-73.54253608175641
131328,23.55,-1.21,-559.8717826086958,-4971.31897826087,74.57396523028635,-252.48273505751575,263.2656601083621,-73.54482874620471
131328,23.62,-1.11,-559.8017826086957,-4971.218978260869,74.57718700546437,-252.46549940803317,263.25004313958925,-73.54309364222928
131328,23.67,-1.09,-559.7517826086957,-4971.19897826087,74.58072534805225,-252.45460144050008,263.2405940996247,-73.54168307799334
131328,23.65,-1.22,-559.7717826086957,-4971.32897826087,74.58224462688227,-252.4623130772665,263.2484202002128,-73.54184148633236
131328,23.58,-0.97,-559.8417826086957,-4971.07897826087,74.57060387176318,-252.46993104303098,263.2524283699435,-73.54474098115651
131328,23.57,-1.13,-559.8517826086957,-4971.23897826087,74.57364866287648,-252.47639737556625,263.2594923390968,-73.54450410520701
131328,23.7,-1.07,-559.7217826086957,-4971.178978260869,74.58265591977775,-252.44784282720954,263.23465940517684,-73.54086330258417
131328,23.66,-1.11,-559.7617826086957,-4971.218978260869,74.58040254718912,-252.4572206995481,263.24301458432114,-73.54191197487555
131328,23.65,-1.03,-559.7717826086957,-4971.138978260869,74.5776743234857,-252.4570920489624,263.2421182738776,-73.54247352130749
131328,23.69,-1.03,-559.7317826086957,-4971.138978260869,74.58088986521045,-252.44881334047733,263.23508977737333,-73.54129180182142
131328,23.75,-0.98,-559.6717826086957,-4971.088978260869,74.58451046637742,-252.4350213229329,263.22288880684135,-73.53968542677927
131328,23.56,-1.07,-559.8617826086958,-4971.178978260869,74.57140152374109,-252.47681830690726,263.2592594907045,-73.54499909152597
131328,23.64,-0.97,-559.7817826086957,-4971.07897826087,74.57542718435032,-252.45751298030342,263.24188534488275,-73.54296853849934
131328,23.62,-0.93,-559.8017826086957,-4971.03897826087,74.57285724435182,-252.4605531706925,263.2440729529129,-73.54369243615783
131328,23.62,-0.93,-559.8017826086957,-4971.03897826087,74.57285724435182,-252.4605531706925,263.2440729529129,-73.54369243615783
131328,23.64,-1.02,-559.7817826086957,-4971.12897826087,74.57662989577048,-252.4588869351203,263.24354373684184,-73.54280220730627
131328,23.62,-1.05,-559.8017826086957,-4971.15897826087,74.57574375176019,-252.46385066225292,263.2480530741691,-73.54329323718767
131328,23.62,-1.03,-559.8017826086957,-4971.138978260869,74.57526266719212,-252.46330108032618,263.247389719739,-73.54335976951108
131328,23.59,-1.08,-559.8317826086957,-4971.18897826087,74.57405372231872,-252.47088406650684,263.2543196035021,-73.54407964978961
131328,23.6,-1.09,-559.8217826086957,-4971.19897826087,74.57509815003392,-252.46908918034893,263.2528941068686,-73.54375098416226
131328,23.5,-1.23,-559.9217826086957,-4971.338978260869,74.57042688769846,-252.4936330250488,263.27510950411096,-73.54623906324079
131328,23.67,-1.19,-559.7517826086957,-4971.298978260869,74.58313077089255,-252.4573493501338,263.24391092005067,-73.54135043226765
131328,23.66,-1.2,-559.7617826086957,-4971.3089782608695,74.58256742774537,-252.45969381821845,263.2459997168101,-73.54161259350232
131328,23.65,-1.13,-559.7717826086957,-4971.23897826087,74.58007974632599,-252.45983995859615,263.2454350732189,-73.54214086754843
131328,23.72,-1.23,-559.7017826086957,-4971.338978260869,74.58811236718464,-252.448100128381,263.2364521963644,-73.53974019268773
131328,23.68,-1.24,-559.7417826086958,-4971.348978260869,74.58513736774391,-252.45665362782944,263.24381222951297,-73.540888683859
131328,23.59,-1.13,-559.8317826086957,-4971.23897826087,74.57525643373887,-252.4722580213237,263.25597798064103,-73.54391331945332
131328,23.6,-1.09,-559.8217826086957,-4971.19897826087,74.57509815003392,-252.46908918034893,263.2528941068686,-73.54375098416226
131328,23.55,-1.19,-559.8717826086958,-4971.298978260869,74.57348414571827,-252.48218547558898,263.2649967621245,-73.54489527794752
131328,23.54,-1.15,-559.8817826086957,-4971.258978260869,74.57171809115096,-252.48315598885677,263.2654272728561,-73.54532372121427
131328,23.7,-1.12,-559.7217826086957,-4971.22897826087,74.5838586311979,-252.4492167820264,263.236317825214,-73.5406969800884
131328,23.65,-1.07,-559.7717826086957,-4971.178978260869,74.5786364926218,-252.45819121281588,263.2434449925493,-73.54234045879794
131328,23.64,-1.07,-559.7817826086957,-4971.178978260869,74.57783260719062,-252.46026088993713,263.2452021310194,-73.54263587820891
131328,23.66,-1.05,-559.7617826086957,-4971.15897826087,74.57895929348493,-252.4555719537679,263.24102449998816,-73.54211156622988
131328,23.74,-0.99,-559.6817826086957,-4971.098978260869,74.58394712323027,-252.43736579101753,263.22497756859775,-73.53994762216351
131328,23.61,-1.11,-559.8117826086957,-4971.218978260869,74.57638312003317,-252.46756908515442,263.2518002959015,-73.54338904920851
131328,23.7,-0.97,-559.7217826086957,-4971.07897826087,74.58025049693745,-252.44509491757583,263.23134257175724,-73.541195953863
131328,23.6,-1.05,-559.8217826086957,-4971.15897826087,74.57413598089781,-252.46799001649546,263.25156740324775,-73.54388404900432
131328,23.59,-1.03,-559.8317826086957,-4971.138978260869,74.57285101089855,-252.46951011168997,263.2526612285817,-73.54424598222153
131328,23.64,-1.01,-559.7817826086957,-4971.11897826087,74.57638935348645,-252.45861214415692,263.24321205827255,-73.54283547337722
131328,23.6,-1.01,-559.8217826086957,-4971.11897826087,74.57317381176169,-252.46689085264197,263.2502407010467,-73.54401711518757
131328,23.57,-1.06,-559.8517826086957,-4971.16897826087,74.5719648668883,-252.47447383882263,263.2571706227558,-73.54473697036623
131328,23.57,-1.05,-559.8517826086957,-4971.15897826087,74.57172432460425,-252.47419904785926,263.25683894934775,-73.54477023715286
131328,23.59,-1.23,-559.8317826086957,-4971.338978260869,74.57766185657917,-252.47500593095742,263.2592947415746,-73.54358066506745
131328,23.62,-1.13,-559.8017826086957,-4971.23897826087,74.57766809003243,-252.46604898995992,263.2507064954392,-73.54302711124708
131328,23.64,-1.13,-559.7817826086957,-4971.23897826087,74.57927586089481,-252.4619096357174,263.24719220696085,-73.54243628605835
131328,23.59,-1.26,-559.8317826086957,-4971.36897826087,74.57838348343128,-252.47583030384754,263.2602897715851,-73.5434808703862
131328,23.55,-1.17,-559.8717826086958,-4971.27897826087,74.57300306115022,-252.48163589366226,263.26433341624187,-73.54496181002558
131328,23.57,-1.22,-559.8517826086957,-4971.32897826087,74.57581354343276,-252.47887049423656,263.26247740935344,-73.54420471318036
131328,23.63,-1.11,-559.7917826086957,-4971.218978260869,74.57799089089556,-252.4634297309119,263.24828599027495,-73.54279823130642
131328,23.63,-1.15,-559.7917826086957,-4971.258978260869,74.57895306003167,-252.4645288947654,263.249612705482,-73.54266517027796
131328,23.57,-1.11,-559.8517826086957,-4971.218978260869,74.57316757830841,-252.47584779363945,263.258828991127,-73.54457063769054
131328,23.47,-1.12,-559.9517826086957,-4971.22897826087,74.56536926628054,-252.4968193558155,263.2767328850388,-73.54749106508908
131328,23.62,-1.08,-559.8017826086957,-4971.18897826087,74.57646537861228,-252.46467503514305,263.24904810647985,-73.54319343933126
131328,23.64,-0.99,-559.7817826086957,-4971.098978260869,74.57590826891837,-252.45806256223017,263.2425487014002,-73.54290200577063
131328,23.63,-1.09,-559.7917826086957,-4971.19897826087,74.5775098063275,-252.46288014898516,263.2476226332039,-73.5428647623236
131328,23.59,-1.01,-559.8317826086957,-4971.11897826087,74.57236992633051,-252.46896052976322,263.25199787923475,-73.54431251578106
131328,23.55,-1.09,-559.8717826086958,-4971.19897826087,74.57107872287797,-252.47943756595527,263.2616800362612,-73.5452279416907
131328,23.6,-0.99,-559.8217826086957,-4971.098978260869,74.57269272719361,-252.46634127071522,263.2495773504787,-73.54408364878218
131328,23.55,-0.97,-559.8717826086958,-4971.07897826087,74.56819221546961,-252.4761400743948,263.25769997694016,-73.5456271492472
131328,23.53,-1.11,-559.8917826086957,-4971.218978260869,74.56995203658366,-252.48412650212452,263.2658577983085,-73.54575216307975
131328,23.55,-1.15,-559.8717826086958,-4971.258978260869,74.57252197658215,-252.4810863117355,263.26367007071417,-73.54502834243894
131328,23.6,-1.11,-559.8217826086957,-4971.218978260869,74.57557923460199,-252.46963876227568,263.2535574592115,-73.54368445224418
131328,23.62,-1.07,-559.8017826086957,-4971.178978260869,74.57622483632824,-252.46440024417967,263.24871642895414,-73.54322670519959
131328,23.67,-1.2,-559.7517826086957,-4971.3089782608695,74.58337131317657,-252.4576241410972,263.24424260258127,-73.54131716815611
131328,23.56,-1.09,-559.8617826086958,-4971.19897826087,74.57188260830915,-252.477367888834,263.2599228363882,-73.54493255807165
131328,23.7,-1.21,-559.7217826086957,-4971.31897826087,74.58602351175419,-252.45168990069678,263.2393029868707,-73.54039760487707
131328,23.68,-1.07,-559.7417826086958,-4971.178978260869,74.58104814891537,-252.45198218145208,263.2381736191296,-73.54145417690172
131328,23.63,-1.17,-559.7917826086957,-4971.27897826087,74.57943414459973,-252.46507847669216,263.2502760636179,-73.54259864026668
131328,24.35,-1.12,-559.0717826086957,-4971.22897826087,74.63611118422521,-252.31468776914429,263.1221213747426,-73.52148502238535
131328,23.98,-1.17,-559.4417826086957,-4971.27897826087,74.60757013469137,-252.3926397774479,263.1887804129034,-73.53225680456306
131328,23.93,-1.11,-559.4917826086958,-4971.218978260869,74.60210745383124,-252.401339417274,263.19557476558555,-73.53393406952522
131328,23.9,-1.03,-559.5217826086957,-4971.138978260869,74.59777145926543,-252.4053501209308,263.19819200814896,-73.53508673909144
131328,23.84,-1.16,-559.5817826086957,-4971.2689782608695,74.59607519637069,-252.42134046618222,263.2130459484234,-73.53642738053975
131328,23.96,-1.14,-559.4617826086957,-4971.24897826087,74.60524073697692,-252.39595475880034,263.19129910395725,-73.53294767705245
131328,23.94,-1.17,-559.4817826086957,-4971.27897826087,74.60435459296662,-252.40091848593295,263.19580805319765,-73.5334389732347
131328,23.82,-1.17,-559.6017826086957,-4971.27897826087,74.59470796779235,-252.42575461138813,263.21689164627895,-73.53698510048925
131328,23.88,-1.19,-559.5417826086957,-4971.298978260869,74.60001236494753,-252.41388613058726,263.2070131216024,-73.53514558571345
131328,23.92,-1.04,-559.5017826086957,-4971.14897826087,74.59961977241181,-252.40148555765165,263.1950097967244,-73.5344624283047
131328,23.87,-1.08,-559.5517826086957,-4971.18897826087,74.59656251439202,-252.41293310711146,263.2051214142664,-73.53580697174077
131328,23.96,-1.08,-559.4617826086957,-4971.18897826087,74.60379748327273,-252.3943060130201,263.1893088761761,-73.53314723984037
131328,23.88,-1.12,-559.5417826086957,-4971.22897826087,74.59832856895932,-252.41196259384367,263.2046912305294,-73.53537841474854
131328,23.92,-1.09,-559.5017826086957,-4971.19897826087,74.60082248383199,-252.40285951246852,263.19666830211804,-73.53429612108644
131328,23.84,-1.15,-559.5817826086957,-4971.258978260869,74.59583465408664,-252.42106567521884,263.21271425285096,-73.53646064243195
131328,23.82,-1.13,-559.6017826086957,-4971.23897826087,74.59374579865622,-252.42465544753463,263.215564870471,-73.53711814942835
131328,23.95,-1.18,-559.4717826086957,-4971.28897826087,74.60539902068186,-252.39912359977507,263.1943828370387,-73.53311017691516
131328,23.84,-1.13,-559.5817826086957,-4971.23897826087,74.59535356951861,-252.42051609329212,263.2120508619722,-73.53652716646782
131328,23.86,-1.03,-559.5617826086957,-4971.138978260869,74.59455591754067,-252.41362882941587,263.2052199166445,-73.53626878992958
131328,23.91,-1.14,-559.5117826086957,-4971.24897826087,74.60122130982097,-252.40630314440665,263.2000837536778,-73.53442534082814
131328,23.88,-1.08,-559.5417826086957,-4971.18897826087,74.59736639982322,-252.4108634299902,263.2033644375821,-73.53551146175579
131328,23.99,-1.02,-559.4317826086957,-4971.12897826087,74.60476588586211,-252.38644823587606,263.1820479174156,-73.53246015461603
131328,24.04,-1.08,-559.3817826086957,-4971.18897826087,74.61022856672224,-252.37774859605,263.1752537629432,-73.53078276539411
131328,23.86,-1.09,-559.5617826086957,-4971.19897826087,74.59599917124484,-252.41527757519606,263.2072100944798,-73.5360692156022
131328,23.92,-1.1,-559.5017826086957,-4971.20897826087,74.60106302611604,-252.4031343034319,263.19700000346285,-73.5342628598943
131328,23.84,-1.21,-559.5817826086957,-4971.31897826087,74.59727790779084,-252.42271442099909,263.21470442761637,-73.5362610723363
131328,23.92,-1.18,-559.5017826086957,-4971.28897826087,74.60298736438827,-252.4053326311389,263.19965361741447,-73.53399677337528
131328,23.79,-1.21,-559.6317826086957,-4971.31897826087,74.59325848063489,-252.43306280660542,263.2234894698465,-73.5377384941383
131328,23.88,-1.05,-559.5417826086957,-4971.15897826087,74.5966447729711,-252.41003905710008,263.20236934380284,-73.53561124789151
131328,23.92,-1.11,-559.5017826086957,-4971.218978260869,74.60130356840006,-252.40340909439527,263.1973317048963,-73.534229598786
131328,23.89,-1.13,-559.5317826086957,-4971.23897826087,74.59937299667455,-252.41016770768582,263.2032659632457,-73.53504964002799
131328,23.92,-1.19,-559.5017826086957,-4971.298978260869,74.60322790667229,-252.4056074221022,263.19998531955747,-73.53396351293765
131328,23.9,-1.15,-559.5217826086957,-4971.258978260869,74.6006579666738,-252.40864761249128,263.2021724048406,-73.53468760067295
131328,23.86,-1.0,-559.5617826086957,-4971.10897826087,74.59383429068859,-252.41280445652575,263.20422482892445,-73.53636857822505
131328,23.91,-1.19,-559.5117826086957,-4971.298978260869,74.60242402124109,-252.40767709922346,263.2017422595658,-73.53425903704961
131328,24.06,-1.07,-559.3617826086958,-4971.178978260869,74.61159579530056,-252.37333445084406,263.17140834246965,-73.53022486657395
131328,24.05,-1.05,-559.3717826086958,-4971.15897826087,74.61031082530133,-252.37485454603862,263.1725017713329,-73.53058696679321
131328,23.89,-1.21,-559.5317826086957,-4971.31897826087,74.60129733494679,-252.41236603539278,263.2059195604123,-73.53478355191127
131328,23.91,-1.09,-559.5117826086957,-4971.19897826087,74.6000185984008,-252.40492918958978,263.19842525000706,-73.53459164670254
131328,23.92,-1.11,-559.5017826086957,-4971.218978260869,74.60130356840006,-252.40340909439527,263.1973317048963,-73.534229598786
131328,23.95,-1.06,-559.4717826086957,-4971.16897826087,74.6025125132735,-252.3958261082146,263.1904023898691,-73.53350930329032
131328,23.92,-1.05,-559.5017826086957,-4971.15897826087,74.59986031469586,-252.40176034861503,263.19534149762575,-73.53442916669339
131328,23.96,-1.09,-559.4617826086957,-4971.19897826087,74.60403802555675,-252.39458080398344,263.18964058058447,-73.53311397916612
131328,23.88,-1.01,-559.5417826086957,-4971.11897826087,74.595682603835,-252.40893989324658,263.20104255333916,-73.53574429724618
131328,23.86,-1.21,-559.5617826086957,-4971.31897826087,74.59888567865323,-252.41857506675655,263.21119045973063,-73.5356700760015
131328,23.87,-1.21,-559.5517826086957,-4971.31897826087,74.59968956408441,-252.4165053896353,263.20943348628964,-73.53537457191655
131328,23.86,-1.16,-559.5617826086957,-4971.2689782608695,74.59768296723308,-252.41720111193968,263.20953197265715,-73.53583638270138
131328,23.93,-1.24,-559.4917826086958,-4971.348978260869,74.60523450352365,-252.40491169979785,263.19988690253746,-73.53350168470175
131328,23.89,-1.17,-559.5317826086957,-4971.27897826087,74.60033516581066,-252.41126687153928,263.2045927611194,-73.53491659529897
131328,23.92,-1.13,-559.5017826086957,-4971.23897826087,74.60178465296812,-252.40395867632202,263.1979951080295,-73.53416307682089
131328,23.91,-1.22,-559.5117826086957,-4971.32897826087,74.6031456480932,-252.40850147211364,263.20273736416306,-73.53415925578851
131328,23.94,-1.14,-559.4817826086957,-4971.24897826087,74.60363296611455,-252.40009411304285,263.19481294283827,-73.5335387543995
131328,23.91,-1.13,-559.5117826086957,-4971.23897826087,74.60098076753692,-252.40602835344328,263.1997520527662,-73.53445860183534
131328,23.96,-1.13,-559.4617826086957,-4971.23897826087,74.60500019469288,-252.39567996783697,263.19096739910526,-73.53298093730753
131328,23.93,-1.1,-559.4917826086958,-4971.20897826087,74.60186691154722,-252.40106462631064,263.195243063364,-73.5339673304831
131328,23.92,-1.16,-559.5017826086957,-4971.2689782608695,74.6025062798202,-252.40478304921214,263.1989902133944,-73.53406329450202
131328,23.96,-1.11,-559.4617826086957,-4971.218978260869,74.60451911012481,-252.3951303859102,263.1903039896675,-73.53304745806915
131328,23.97,-1.13,-559.4517826086957,-4971.23897826087,74.60580408012407,-252.39361029071569,263.1892104893806,-73.53268539256494
