,I,Q
0,25.263474539260677,-0.9158143974321026
1,24.56232175341905,-1.8064034709127963
2,24.711696951000665,-1.6216589103469041
3,24.835103526884442,-1.4698991302802966
4,24.808986577669145,-1.4897694379662587
5,24.789528652335452,-1.5161473324423875
6,24.79618767621705,-1.5226549192325545
7,24.79618767621705,-1.5226549192325545
8,24.776358932089714,-1.5162466316753767
9,24.782795464695127,-1.5030825092455595
10,24.79603934869959,-1.509540446419232
11,24.789602816094177,-1.522704568849049
12,24.782943792212585,-1.516196982058882
13,24.789380324817998,-1.503032859629065
14,24.789454488576723,-1.5095900960357262
15,24.783092119730036,-1.5293114548722049
16,24.77650725960717,-1.5293611044886994
17,24.769774071966847,-1.5162962812918712
18,24.782869628453856,-1.509639745652221
19,24.80269837258119,-1.5160480332093984
20,24.815868092826925,-1.5159487339764093
21,24.79611351245832,-1.516097682825893
22,24.782943792212585,-1.516196982058882
23,24.769848235725572,-1.522853517698533
24,24.76333753936143,-1.5294604037216886
25,24.769922399484297,-1.529410754105194
26,24.77650725960717,-1.5293611044886994
27,24.776358932089714,-1.5162466316753767
28,24.769848235725572,-1.522853517698533
29,24.776581423365897,-1.535918340895361
30,24.783092119730036,-1.5293114548722049
31,24.789528652335452,-1.5161473324423875
32,24.80262420882246,-1.5094907968027373
33,24.80262420882246,-1.5094907968027373
34,24.789602816094177,-1.522704568849049
35,24.76318921184398,-1.5163459309083658
36,24.76311504808525,-1.5097886945017045
37,24.78301795597131,-1.5227542184655436
38,24.789676979852903,-1.5292618052557103
39,24.79611351245832,-1.516097682825893
40,24.809134905186603,-1.5028839107795813
41,24.80920906894533,-1.5094411471862426
42,24.80262420882246,-1.5094907968027373
43,24.80269837258119,-1.5160480332093984
44,24.79611351245832,-1.516097682825893
45,24.776136440813534,-1.4965749224553928
46,24.77621060457226,-1.503132158862054
47,24.789528652335452,-1.5161473324423875
48,24.79603934869959,-1.509540446419232
49,24.782647137177673,-1.489968036432237
50,24.769477416931934,-1.490067335665226
51,24.76311504808525,-1.5097886945017045
52,24.76318921184398,-1.5163459309083658
53,24.776358932089714,-1.5162466316753767
54,24.78301795597131,-1.5227542184655436
55,24.783092119730036,-1.5293114548722049
56,24.776358932089714,-1.5162466316753767
57,24.795965184940865,-1.5029832100125704
58,24.809134905186603,-1.5028839107795813
59,24.789528652335452,-1.5161473324423875
60,24.78301795597131,-1.5227542184655436
61,24.79603934869959,-1.509540446419232
62,24.81549727403329,-1.4831625519431029
63,24.815348946515837,-1.4700480791297803
64,24.802401717546278,-1.4898190875827533
65,24.782795464695127,-1.5030825092455595
66,24.776136440813534,-1.4965749224553928
67,24.776284768330985,-1.5096893952687154
68,24.776284768330985,-1.5096893952687154
69,24.776136440813534,-1.4965749224553928
70,24.7827213009364,-1.4965252728388985
71,24.789528652335452,-1.5161473324423875
72,24.79611351245832,-1.516097682825893
73,24.795965184940865,-1.5029832100125704
74,24.789380324817998,-1.503032859629065
75,24.782869628453856,-1.509639745652221
76,24.782869628453856,-1.509639745652221
77,24.7827213009364,-1.4965252728388985
78,24.775988113296076,-1.48346044964207
79,24.776062277054805,-1.4900176860487315
80,24.789380324817998,-1.503032859629065
81,24.789380324817998,-1.503032859629065
82,24.782795464695127,-1.5030825092455595
83,24.782869628453856,-1.509639745652221
84,24.79611351245832,-1.516097682825893
85,24.79589102118214,-1.4964259736059091
86,24.77621060457226,-1.503132158862054
87,24.75653018796238,-1.509838344118199
88,24.769699908208118,-1.5097390448852102
89,24.789454488576723,-1.5095900960357262
90,24.79611351245832,-1.516097682825893
91,24.796261839975774,-1.5292121556392158
92,24.80269837258119,-1.5160480332093984
93,24.79581685742341,-1.4898687371992478
94,24.789157833541815,-1.483361150409081
95,24.776136440813534,-1.4965749224553928
96,24.769699908208118,-1.5097390448852102
97,24.776358932089714,-1.5162466316753767
98,24.77650725960717,-1.5293611044886994
99,24.769848235725572,-1.522853517698533
100,24.776284768330985,-1.5096893952687154
101,24.776284768330985,-1.5096893952687154
102,24.78930616105927,-1.4964756232224037
103,24.78923199730054,-1.4899183868157424
104,24.77621060457226,-1.503132158862054
105,24.776433095848443,-1.5228038680820382
106,24.783092119730036,-1.5293114548722049
107,24.776358932089714,-1.5162466316753767
108,24.782943792212585,-1.516196982058882
109,24.783092119730036,-1.5293114548722049
110,24.770070727001755,-1.5425252269185168
111,24.756901006756017,-1.5426245261515057
112,24.750167819115696,-1.5295597029546777
113,24.769699908208118,-1.5097390448852102
114,24.789454488576723,-1.5095900960357262
115,24.789528652335452,-1.5161473324423875
116,24.789454488576723,-1.5095900960357262
117,24.789380324817998,-1.503032859629065
118,24.78301795597131,-1.5227542184655436
119,24.783092119730036,-1.5293114548722049
120,24.789528652335452,-1.5161473324423875
121,24.789528652335452,-1.5161473324423875
122,24.782943792212585,-1.516196982058882
123,24.789528652335452,-1.5161473324423875
124,24.789602816094177,-1.522704568849049
125,24.78301795597131,-1.5227542184655436
126,24.782943792212585,-1.516196982058882
127,24.776136440813534,-1.4965749224553928
128,24.776062277054805,-1.4900176860487315
129,24.782869628453856,-1.509639745652221
130,24.80284670009864,-1.5291625060227212
131,24.809431560221512,-1.5291128564062266
132,24.802772536339916,-1.5226052696160601
133,24.79618767621705,-1.5226549192325545
134,24.79618767621705,-1.5226549192325545
135,24.80269837258119,-1.5160480332093984
136,24.802772536339916,-1.5226052696160601
137,24.782943792212585,-1.516196982058882
138,24.782795464695127,-1.5030825092455595
139,24.789380324817998,-1.503032859629065
140,24.79603934869959,-1.509540446419232
141,24.789454488576723,-1.5095900960357262
142,24.782943792212585,-1.516196982058882
143,24.769922399484297,-1.529410754105194
144,24.769922399484297,-1.529410754105194
145,24.782943792212585,-1.516196982058882
146,24.789528652335452,-1.5161473324423875
147,24.789602816094177,-1.522704568849049
148,24.78301795597131,-1.5227542184655436
149,24.76333753936143,-1.5294604037216886
150,24.763263375602705,-1.5229031673150273
151,24.76311504808525,-1.5097886945017045
152,24.75660435172111,-1.5163955805248603
153,24.769922399484297,-1.529410754105194
154,24.776433095848443,-1.5228038680820382
155,24.776358932089714,-1.5162466316753767
156,24.763263375602705,-1.5229031673150273
157,24.769848235725572,-1.522853517698533
158,24.789602816094177,-1.522704568849049
159,24.796261839975774,-1.5292121556392158
160,24.796261839975774,-1.5292121556392158
161,24.79618767621705,-1.5226549192325545
162,24.789528652335452,-1.5161473324423875
163,24.776284768330985,-1.5096893952687154
164,24.77621060457226,-1.503132158862054
165,24.7827213009364,-1.4965252728388985
166,24.7827213009364,-1.4965252728388985
167,24.776284768330985,-1.5096893952687154
168,24.78301795597131,-1.5227542184655436
169,24.80292086385737,-1.535719742429383
170,24.802772536339916,-1.5226052696160601
171,24.789602816094177,-1.522704568849049
172,24.783092119730036,-1.5293114548722049
173,24.789676979852903,-1.5292618052557103
174,24.789528652335452,-1.5161473324423875
175,24.789380324817998,-1.503032859629065
176,24.769699908208118,-1.5097390448852102
177,24.76311504808525,-1.5097886945017045
178,24.769625744449392,-1.5031818084785484
179,24.782869628453856,-1.509639745652221
180,24.789454488576723,-1.5095900960357262
181,24.789454488576723,-1.5095900960357262
182,24.79611351245832,-1.516097682825893
183,24.79611351245832,-1.516097682825893
184,24.789602816094177,-1.522704568849049
185,24.776433095848443,-1.5228038680820382
186,24.769922399484297,-1.529410754105194
187,24.776433095848443,-1.5228038680820382
188,24.789528652335452,-1.5161473324423875
189,24.79611351245832,-1.516097682825893
190,24.80262420882246,-1.5094907968027373
191,24.809357396462783,-1.5225556199995653
192,24.796336003734503,-1.5357693920458773
193,24.776581423365897,-1.535918340895361
194,24.776581423365897,-1.535918340895361
195,24.783166283488764,-1.5358686912788664
196,24.77650725960717,-1.5293611044886994
197,24.769699908208118,-1.5097390448852102
198,24.776284768330985,-1.5096893952687154
199,24.78301795597131,-1.5227542184655436
200,24.769848235725572,-1.522853517698533
201,24.769774071966847,-1.5162962812918712
202,24.776433095848443,-1.5228038680820382
203,24.776358932089714,-1.5162466316753767
204,24.77621060457226,-1.503132158862054
205,24.782795464695127,-1.5030825092455595
206,24.789602816094177,-1.522704568849049
207,24.783092119730036,-1.5293114548722049
208,24.783166283488764,-1.5358686912788664
209,24.796261839975774,-1.5292121556392158
210,24.80269837258119,-1.5160480332093984
211,24.789528652335452,-1.5161473324423875
212,24.78301795597131,-1.5227542184655436
213,24.769699908208118,-1.5097390448852102
214,24.76318921184398,-1.5163459309083658
215,24.776433095848443,-1.5228038680820382
216,24.789676979852903,-1.5292618052557103
217,24.78301795597131,-1.5227542184655436
218,24.776284768330985,-1.5096893952687154
219,24.776358932089714,-1.5162466316753767
220,24.78301795597131,-1.5227542184655436
221,24.782943792212585,-1.516196982058882
222,24.782869628453856,-1.509639745652221
223,24.782869628453856,-1.509639745652221
