timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1761081120796.870600,8,5342.000000,-3877.000000,,,,,,,,,
1761081120828.104200,9,5366.000000,-3843.000000,,,,,,,,,
1761081120859.338100,10,5383.000000,-3815.000000,,,,,,,,,
1761081120890.572000,11,5376.000000,-3821.000000,,,,,,,,,
1761081120921.805700,12,5372.000000,-3826.000000,0.000000,589,5,0,,,,,
1761081120953.039600,13,5374.000000,-3826.000000,,,,,,,,,
1761081120984.273400,14,5377.000000,-3826.000000,,,,,,,,,
1761081121015.507300,15,5377.000000,-3826.000000,,,,,,,,,
1761081121046.741000,16,5375.000000,-3825.000000,,,,,,,,,
1761081121077.974900,17,5376.000000,-3824.000000,,,,,,,,,
1761081121109.208700,18,5378.000000,-3824.000000,,,,,,,,,
1761081121140.442400,19,5378.000000,-3826.000000,,,,,,,,,
1761081121171.676300,20,5377.000000,-3827.000000,,,,,,,,,
1761081121202.910200,21,5377.000000,-3827.000000,,,,,,,,,
1761081121234.143800,22,5374.000000,-3824.000000,,,,,,,,,
1761081121265.377700,23,5372.000000,-3822.000000,,,,,,,,,
1761081121296.611600,24,5375.000000,-3823.000000,,,,,,,,,
1761081121327.845500,25,5378.000000,-3824.000000,,,,,,,,,
1761081121359.079100,26,5378.000000,-3824.000000,,,,,,,,,
1761081121390.313000,27,5377.000000,-3826.000000,,,,,,,,,
1761081121421.546900,28,5376.000000,-3826.000000,,,,,,,,,
1761081121452.780500,29,5375.000000,-3824.000000,,,,,,,,,
1761081121484.014400,30,5376.000000,-3822.000000,,,,,,,,,
1761081121515.248300,31,5377.000000,-3822.000000,,,,,,,,,
1761081121546.481900,32,5376.000000,-3823.000000,,,,,,,,,
1761081121577.715800,33,5376.000000,-3822.000000,,,,,,,,,
1761081121608.949700,34,5376.000000,-3823.000000,,,,,,,,,
1761081121640.183600,35,5377.000000,-3825.000000,,,,,,,,,
1761081121671.417200,36,5377.000000,-3825.000000,,,,,,,,,
1761081121702.651100,37,5374.000000,-3825.000000,,,,,,,,,
1761081121733.885000,38,5374.000000,-3825.000000,,,,,,,,,
1761081121765.118700,39,5375.000000,-3825.000000,,,,,,,,,
1761081121796.352500,40,5377.000000,-3823.000000,,,,,,,,,
1761081121827.586400,41,5378.000000,-3822.000000,,,,,,,,,
1761081121858.820100,42,5378.000000,-3823.000000,0.000000,1548,5,0,,,,,
1761081121890.054000,43,5378.000000,-3824.000000,,,,,,,,,
1761081121921.287800,44,5377.000000,-3823.000000,,,,,,,,,
1761081121952.521700,45,5376.000000,-3821.000000,,,,,,,,,
1761081121983.755400,46,5376.000000,-3822.000000,,,,,,,,,
1761081122014.989300,47,5376.000000,-3825.000000,,,,,,,,,
1761081122046.223100,48,5376.000000,-3826.000000,,,,,,,,,
1761081122077.456800,49,5377.000000,-3825.000000,,,,,,,,,
1761081122108.690700,50,5378.000000,-3825.000000,,,,,,,,,
1761081122139.924600,51,5380.000000,-3825.000000,,,,,,,,,
1761081122171.158200,52,5377.000000,-3824.000000,,,,,,,,,
1761081122202.392100,53,5374.000000,-3824.000000,,,,,,,,,
1761081122233.626000,54,5373.000000,-3824.000000,,,,,,,,,
1761081122264.859900,55,5375.000000,-3821.000000,,,,,,,,,
1761081122296.093500,56,5374.000000,-3820.000000,,,,,,,,,
1761081122327.327400,57,5374.000000,-3821.000000,,,,,,,,,
1761081122358.561300,58,5378.000000,-3825.000000,,,,,,,,,
1761081122389.794900,59,5379.000000,-3827.000000,,,,,,,,,
1761081122421.028800,60,5378.000000,-3827.000000,,,,,,,,,
1761081122452.262700,61,5377.000000,-3825.000000,,,,,,,,,
1761081122483.496600,62,5375.000000,-3823.000000,,,,,,,,,
1761081122514.730200,63,5374.000000,-3823.000000,,,,,,,,,
1761081122545.964100,64,5375.000000,-3824.000000,,,,,,,,,
1761081122577.198000,65,5377.000000,-3824.000000,,,,,,,,,
1761081122608.431600,66,5377.000000,-3822.000000,,,,,,,,,
1761081122639.665500,67,5376.000000,-3822.000000,,,,,,,,,
1761081122670.899400,68,5375.000000,-3824.000000,,,,,,,,,
1761081122702.133100,69,5376.000000,-3825.000000,,,,,,,,,
1761081122733.366900,70,5377.000000,-3825.000000,,,,,,,,,
1761081122764.600800,71,5376.000000,-3825.000000,,,,,,,,,
1761081122795.834700,72,5374.000000,-3824.000000,,,,,,,,,
1761081122827.068400,73,5375.000000,-3824.000000,,,,,,,,,
1761081122858.302200,74,5377.000000,-3825.000000,,,,,,,,,
1761081122889.536100,75,5377.000000,-3825.000000,0.000000,2604,5,0,,,,,
1761081122920.769800,76,5378.000000,-3822.000000,,,,,,,,,
1761081122952.003700,77,5378.000000,-3821.000000,,,,,,,,,
1761081122983.237500,78,5376.000000,-3822.000000,,,,,,,,,
1761081123014.471200,79,5376.000000,-3823.000000,,,,,,,,,
1761081123045.705100,80,5378.000000,-3824.000000,,,,,,,,,
1761081123076.939000,81,5380.000000,-3824.000000,,,,,,,,,
1761081123108.172900,82,5379.000000,-3823.000000,,,,,,,,,
1761081123139.406500,83,5377.000000,-3823.000000,,,,,,,,,
1761081123170.640400,84,5376.000000,-3824.000000,,,,,,,,,
1761081123201.874300,85,5375.000000,-3826.000000,,,,,,,,,
1761081123233.107900,86,5377.000000,-3825.000000,,,,,,,,,
1761081123264.341800,87,5379.000000,-3823.000000,,,,,,,,,
1761081123295.575700,88,5378.000000,-3823.000000,,,,,,,,,
1761081123326.809300,89,5376.000000,-3824.000000,,,,,,,,,
1761081123358.043200,90,5374.000000,-3823.000000,,,,,,,,,
1761081123389.277100,91,5374.000000,-3824.000000,,,,,,,,,
1761081123420.511000,92,5376.000000,-3825.000000,,,,,,,,,
1761081123451.744600,93,5376.000000,-3826.000000,,,,,,,,,
1761081123482.978500,94,5375.000000,-3827.000000,,,,,,,,,
1761081123514.212400,95,5374.000000,-3829.000000,,,,,,,,,
1761081123545.446000,96,5375.000000,-3828.000000,,,,,,,,,
1761081123576.679900,97,5377.000000,-3824.000000,,,,,,,,,
1761081123607.913800,98,5378.000000,-3822.000000,,,,,,,,,
1761081123639.147500,99,5377.000000,-3823.000000,,,,,,,,,
1761081123670.381300,100,5376.000000,-3825.000000,,,,,,,,,
1761081123701.615200,101,5379.000000,-3826.000000,,,,,,,,,
1761081123732.849100,102,5380.000000,-3824.000000,,,,,,,,,
1761081123764.082800,103,5378.000000,-3823.000000,,,,,,,,,
1761081123795.316700,104,5376.000000,-3823.000000,,,,,,,,,
1761081123826.550500,105,5374.000000,-3824.000000,,,,,,,,,
1761081123857.784200,106,5374.000000,-3824.000000,,,,,,,,,
1761081123889.018100,107,5375.000000,-3823.000000,,,,,,,,,
1761081123920.252000,108,5377.000000,-3823.000000,0.000000,3659,7,0,,,,,
1761081123951.485600,109,5376.000000,-3824.000000,,,,,,,,,
1761081123982.719500,110,5376.000000,-3824.000000,,,,,,,,,
1761081124013.953400,111,5378.000000,-3822.000000,,,,,,,,,
1761081124045.187300,112,5377.000000,-3820.000000,,,,,,,,,
1761081124076.420900,113,5375.000000,-3820.000000,,,,,,,,,
1761081124107.654800,114,5374.000000,-3822.000000,,,,,,,,,
1761081124138.888700,115,5375.000000,-3825.000000,,,,,,,,,
1761081124170.122300,116,5377.000000,-3827.000000,,,,,,,,,
1761081124201.356200,117,5378.000000,-3827.000000,,,,,,,,,
1761081124232.590100,118,5377.000000,-3826.000000,,,,,,,,,
1761081124263.823700,119,5376.000000,-3825.000000,,,,,,,,,
1761081124295.057600,120,5375.000000,-3825.000000,,,,,,,,,
1761081124326.291500,121,5376.000000,-3825.000000,,,,,,,,,
1761081124357.525400,122,5376.000000,-3824.000000,,,,,,,,,
1761081124388.759000,123,5375.000000,-3824.000000,,,,,,,,,
1761081124419.992900,124,5374.000000,-3823.000000,,,,,,,,,
1761081124451.226800,125,5374.000000,-3823.000000,,,,,,,,,
1761081124482.460400,126,5375.000000,-3826.000000,,,,,,,,,
1761081124513.694300,127,5375.000000,-3827.000000,,,,,,,,,
1761081124544.928200,128,5376.000000,-3826.000000,,,,,,,,,
1761081124576.162100,129,5377.000000,-3825.000000,,,,,,,,,
1761081124607.395800,130,5375.000000,-3823.000000,,,,,,,,,
1761081124638.629600,131,5373.000000,-3823.000000,,,,,,,,,
1761081124669.863500,132,5373.000000,-3824.000000,,,,,,,,,
1761081124701.097200,133,5375.000000,-3824.000000,,,,,,,,,
1761081124732.331100,134,5376.000000,-3824.000000,,,,,,,,,
1761081124763.564900,135,5377.000000,-3823.000000,,,,,,,,,
1761081124794.798600,136,5375.000000,-3823.000000,,,,,,,,,
1761081124826.032500,137,5374.000000,-3824.000000,,,,,,,,,
1761081124857.266400,138,5376.000000,-3825.000000,0.000000,4619,5,0,,,,,
1761081124888.500200,139,5375.000000,-3826.000000,,,,,,,,,
1761081124919.733900,140,5374.000000,-3826.000000,,,,,,,,,
1761081124950.967800,141,5376.000000,-3826.000000,,,,,,,,,
1761081124982.201700,142,5377.000000,-3826.000000,,,,,,,,,
1761081125013.435300,143,5376.000000,-3824.000000,,,,,,,,,
1761081125044.669200,144,5377.000000,-3821.000000,,,,,,,,,
1761081125075.903100,145,5379.000000,-3821.000000,,,,,,,,,
1761081125107.136700,146,5378.000000,-3825.000000,,,,,,,,,
1761081125138.370600,147,5377.000000,-3828.000000,,,,,,,,,
1761081125169.604500,148,5379.000000,-3826.000000,,,,,,,,,
1761081125200.838400,149,5379.000000,-3824.000000,,,,,,,,,
1761081125232.072000,150,5378.000000,-3822.000000,,,,,,,,,
1761081125263.305900,151,5377.000000,-3822.000000,,,,,,,,,
1761081125294.539800,152,5374.000000,-3822.000000,,,,,,,,,
1761081125325.773400,153,5370.000000,-3821.000000,,,,,,,,,
1761081125357.007300,154,5371.000000,-3819.000000,,,,,,,,,
1761081125388.241200,155,5375.000000,-3820.000000,,,,,,,,,
1761081125419.474900,156,5376.000000,-3825.000000,,,,,,,,,
1761081125450.708700,157,5375.000000,-3827.000000,,,,,,,,,
1761081125481.942600,158,5376.000000,-3824.000000,,,,,,,,,
1761081125513.176500,159,5377.000000,-3821.000000,,,,,,,,,
1761081125544.410200,160,5376.000000,-3821.000000,,,,,,,,,
1761081125575.644000,161,5375.000000,-3822.000000,,,,,,,,,
1761081125606.877900,162,5376.000000,-3822.000000,,,,,,,,,
1761081125638.111600,163,5377.000000,-3822.000000,,,,,,,,,
1761081125669.345500,164,5377.000000,-3822.000000,,,,,,,,,
1761081125700.579300,165,5373.000000,-3823.000000,,,,,,,,,
1761081125731.813000,166,5373.000000,-3824.000000,,,,,,,,,
1761081125763.046900,167,5376.000000,-3823.000000,,,,,,,,,
1761081125794.280800,168,5377.000000,-3822.000000,,,,,,,,,
1761081125825.514600,169,5375.000000,-3823.000000,,,,,,,,,
1761081125856.748300,170,5375.000000,-3823.000000,,,,,,,,,
1761081125887.982200,171,5375.000000,-3825.000000,0.000000,5674,5,0,,,,,
1761081125919.216100,172,5376.000000,-3824.000000,,,,,,,,,
1761081125950.449700,173,5377.000000,-3823.000000,,,,,,,,,
1761081125981.683600,174,5377.000000,-3825.000000,,,,,,,,,
1761081126012.917500,175,5375.000000,-3826.000000,,,,,,,,,
1761081126044.151100,176,5374.000000,-3826.000000,,,,,,,,,
1761081126075.385000,177,5375.000000,-3824.000000,,,,,,,,,
1761081126106.618900,178,5378.000000,-3823.000000,,,,,,,,,
1761081126137.852800,179,5379.000000,-3827.000000,,,,,,,,,
1761081126169.086400,180,5376.000000,-3829.000000,,,,,,,,,
1761081126200.320300,181,5376.000000,-3828.000000,,,,,,,,,
1761081126231.554200,182,5377.000000,-3826.000000,,,,,,,,,
1761081126262.787800,183,5377.000000,-3825.000000,,,,,,,,,
1761081126294.021700,184,5378.000000,-3825.000000,,,,,,,,,
1761081126325.255600,185,5377.000000,-3825.000000,,,,,,,,,
1761081126356.489500,186,5376.000000,-3826.000000,,,,,,,,,
1761081126387.723100,187,5375.000000,-3827.000000,,,,,,,,,
1761081126418.957000,188,5375.000000,-3824.000000,,,,,,,,,
1761081126450.190900,189,5376.000000,-3822.000000,,,,,,,,,
1761081126481.424600,190,5376.000000,-3822.000000,,,,,,,,,
1761081126512.658400,191,5375.000000,-3824.000000,,,,,,,,,
