frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,5210.0,7712.0,1082130432,32768,128,32,6084.231292517006,7669.319727891157,173.01466762673454,0.8479431113425733,173.01674549450263,0.28080377942296514
4104.0,5680.0,4510.0,1082130432,32768,128,32,6554.231292517006,4467.319727891157,134.19550021884595,-40.86199003021429,140.2787742611676,-16.935281590920717
4104.0,6932.0,5594.0,1082130432,32768,128,32,7806.231292517006,5551.319727891157,163.00176848334007,-46.12819611900764,169.40303127715876,-15.801088574647496
4104.0,6279.0,8115.0,1082130432,32768,128,32,7153.231292517006,8072.319727891157,190.4238151156978,-9.401667300471189,190.6557649567571,-2.8265309069119495
4104.0,6759.0,8123.0,1082130432,32768,128,32,7633.231292517006,8080.319727891157,195.86222345716595,-15.908085251445428,196.5071951709455,-4.643416000700173
4104.0,5262.0,7804.0,1082130432,32768,128,32,6136.231292517006,7761.319727891157,174.85716930014928,1.1464251123778837,174.8609274429235,0.3756459033202699
4104.0,4251.0,4020.0,1082130432,32768,128,32,5125.231292517006,3977.3197278911566,111.59356766233086,-26.62434588747041,114.72567340200222,-13.418950872465757
4104.0,5705.0,4413.0,1082130432,32768,128,32,6579.231292517006,4370.319727891157,133.1389963008428,-42.27338706295855,139.6890532209684,-17.615329679636282
4104.0,7518.0,6981.0,1082130432,32768,128,32,8392.231292517006,6938.319727891157,188.58200745400615,-38.90862367223649,192.55403016153818,-11.657799461122398
4104.0,3562.0,5700.0,1082130432,32768,128,32,4436.231292517006,5657.319727891157,127.04985967965612,1.337674314112526,127.05690149374392,0.6032297939733008
4104.0,6730.0,6997.0,1082130432,32768,128,32,7604.231292517006,6954.319727891157,180.05461939022268,-27.906507089127572,182.20438826129705,-8.810124256395165
4104.0,4166.0,4076.0,1082130432,32768,128,32,5040.231292517006,4033.3197278911566,111.42015754434152,-24.84003166384229,114.15550219006779,-12.568002710716424
4104.0,7143.0,5224.0,1082130432,32768,128,32,8017.231292517006,5181.319727891157,160.25549286134031,-53.100587936003684,168.82385918874252,-18.332592646917814
4104.0,7260.0,5773.0,1082130432,32768,128,32,8134.231292517006,5730.319727891157,169.1045877193156,-48.66371123062737,175.96737873383688,-16.054382536676197
4104.0,7475.0,6553.0,1082130432,32768,128,32,8349.231292517006,6510.319727891157,182.2184638694733,-43.02998689889995,187.23020148328115,-13.286707938628957
4104.0,7963.0,7178.0,1082130432,32768,128,32,8837.231292517006,7135.319727891157,196.23117156177975,-42.853373656894775,200.85587949145545,-12.318968756627193
4104.0,3617.0,6649.0,1082130432,32768,128,32,4491.231292517006,6606.319727891157,140.711834645609,11.030190481904583,141.14349262860227,4.482164940105032
